AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,11/26/2023 1:52:32 PM,BP23006422,"XXX PICKETT ST N, BAYPORT",VEHICLE UNLOCK
BAYPORT POLICE DEPARTMENT,BAYPORT,11/26/2023 7:15:12 PM,BP23006424,"XXX 2nd Ave S, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,11/27/2023 7:57:20 AM,BP23006430,"XXX 3rd st n, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/27/2023 8:19:52 AM,BP23006431,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/27/2023 9:28:16 AM,BP23006432,"1XXX  Inspiration Pkwy N, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,11/27/2023 10:08:25 AM,BP23006433,"XXX 3rd st n, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/27/2023 4:04:35 PM,BP23006434,"XXX 3RD ST N, BAYPORT",Records Check
BAYPORT POLICE DEPARTMENT,BAYPORT,11/28/2023 3:16:01 PM,BP23006447,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,11/28/2023 5:06:52 PM,BP23006448,"Unknown, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/28/2023 5:16:09 PM,BP23006449,"XXX 1st Ave N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/28/2023 10:03:24 PM,BP23006453,"POINT RD / 10TH AVE N, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,11/29/2023 8:56:56 AM,BP23006459,"XXX 4th Ave N, BAYPORT",FIRE
BAYPORT POLICE DEPARTMENT,BAYPORT,11/29/2023 10:06:04 AM,BP23006460,"XXX Pickett St N, BAYPORT",VEHICLE UNLOCK
BAYPORT POLICE DEPARTMENT,BAYPORT,11/29/2023 4:28:30 PM,BP23006464,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/30/2023 8:33:51 AM,BP23006473,"XXX Minnesota St S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/30/2023 1:15:01 PM,BP23006474,"XXX Pickett St N, BAYPORT",VEHICLE UNLOCK
BAYPORT POLICE DEPARTMENT,BAYPORT,11/30/2023 10:15:33 PM,BP23006478,"Minnesota St S / 5th Ave S, BAYPORT",FOUND PROPERTY/ITEM
BAYPORT POLICE DEPARTMENT,BAYPORT,12/1/2023 2:02:17 PM,BP23006494,"XXX 3rd St N, BAYPORT",INDECENT EXPOSURE
BAYPORT POLICE DEPARTMENT,BAYPORT,12/1/2023 5:17:32 PM,BP23006499,"XXX Minnesota St S, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,12/1/2023 11:55:51 PM,BP23006500,"5th St N / Pickett St N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,12/2/2023 12:57:31 AM,BP23006506,"Minnesota St S / 3rd Ave S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,12/2/2023 1:02:21 AM,BP23006507,"XXX 2ND AVE S, BAYPORT",V/W - Speed
BAYPORT POLICE DEPARTMENT,BAYTOWN TOWNSHIP,12/2/2023 9:52:32 AM,BP23006509,"30XXX -3498 SAINT CROIX TRL N, BAYTOWN TOWNSHIP",V/W EXPIRED REG/SPEED
BAYPORT POLICE DEPARTMENT,STILLWATER,12/2/2023 1:39:18 PM,BP23006513,"1XXX  Frontage Rd W, STILLWATER",ASSIST OTHER AGENCY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/26/2023 12:22:40 AM,CG23039919,"8XXX  Hadley Ave S, COTTAGE GROVE",PROPERTY DAMAGE
