AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,12/16/2024 1:59:30 AM,BP24006453,"XXX 3RD ST N, BAYPORT",V/W - Update driver's license
BAYPORT POLICE DEPARTMENT,BAYPORT,12/16/2024 2:04:09 AM,BP24006454,"XXX 3rd St N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/16/2024 8:41:40 AM,BP24006456,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/16/2024 3:11:18 PM,BP24006462,"XXX State St S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/16/2024 10:15:49 PM,BP24006465,"XXX 4th Ave N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/16/2024 10:27:41 PM,BP24006466,"XXX 1st Ave S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/17/2024 3:53:08 AM,BP24006469,"70XXX -972 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,12/17/2024 7:12:20 AM,BP24006471,"XXX 4th Ave N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/17/2024 8:36:55 AM,BP24006472,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/17/2024 9:56:43 AM,BP24006476,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/17/2024 12:14:05 PM,BP24006478,"30XXX -399 MINNESOTA ST S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/17/2024 2:01:21 PM,BP24006479,"60XXX -648 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,12/17/2024 2:12:03 PM,BP24006480,"XXX 3rd St N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/17/2024 4:03:22 PM,BP24006481,"XXX 4th Ave N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/17/2024 4:54:17 PM,BP24006482,"XXX PERRO CREEK DR S, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/18/2024 1:46:53 PM,BP24006489,"XXX 3RD ST S, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,12/18/2024 11:05:14 PM,BP24006492,"XXX 3rd St N, BAYPORT",GAS DRIVE OFF
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2024 3:19:20 AM,BP24006497,"5th Ave N / 50th St N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2024 4:20:02 AM,BP24006501,"MINNESOTA ST S / 2ND AVE S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2024 6:59:38 PM,BP24006511,"5th Ave N / 8th St N, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2024 7:04:18 AM,BP24006521,"5th Ave N / Stagecoach Trl N, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2024 8:34:31 AM,BP24006522,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2024 10:17:20 AM,BP24006523,"XXX Minnesota St S, BAYPORT",PARKING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2024 11:40:32 AM,BP24006524,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2024 2:05:48 PM,BP24006526,"4th St S / 2nd Ave S, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/21/2024 6:19:31 PM,BP24006540,"75XXX -998 Highway 95 N, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,12/21/2024 7:23:15 PM,BP24006543,"40XXX -498 MINNESOTA ST S, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,12/21/2024 9:41:32 PM,BP24006549,"10XXX -124 3RD ST S, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,12/21/2024 9:50:32 PM,BP24006550,"20XXX -299 3RD ST N, BAYPORT",V/W HEADLIGHT OUT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/21/2024 11:25:15 PM,BP24006553,"XXX 4th St N, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,LAKE ELMO,12/21/2024 8:44:00 PM,BP24006547,"Highway 36, LAKE ELMO",CITE - DAR
BAYPORT POLICE DEPARTMENT,LAKELAND,12/19/2024 1:35:36 AM,BP24006495,"8TH ST N / SAINT CROIX TRL N, LAKELAND",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,LAKELAND,12/21/2024 11:23:19 PM,BP24006552,"11TH ST N, LAKELAND",W/W STOP SIGN VIOL
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/15/2024 2:58:12 AM,BP24006445,"SAINT CROIX CROSSING BRIDGE: HWY 36 WB - MN, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/15/2024 7:10:18 PM,BP24006449,"6XXX  Osman Ave N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/16/2024 1:44:05 PM,BP24006461,"60XXX -6199 SAINT CROIX TRL N, OAK PARK HEIGHTS",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/17/2024 4:32:58 AM,BP24006470,"5XXX  NORWICH AVE N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/18/2024 2:09:56 AM,BP24006483,"Hwy 36 Eb At Norell Ave N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/20/2024 6:42:18 PM,BP24006527,"14XXX  Upper 56th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAKDALE,12/21/2024 6:48:27 PM,BP24006542,"I694, OAKDALE",V/W FAIL TO MAINTAIN LANE
BAYPORT POLICE DEPARTMENT,PINE SPRINGS,12/21/2024 6:41:09 PM,BP24006541,"XX I694 Sb Jso Hwy 36, PINE SPRINGS",W/W SPEED/FAIL TO UPDATE DL
BAYPORT POLICE DEPARTMENT,STILLWATER,12/15/2024 10:08:27 PM,BP24006450,"1XXX  Macey Way, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,12/16/2024 4:47:08 PM,BP24006464,"XXX Churchill St W, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER TOWNSHIP,12/15/2024 2:47:42 AM,BP24006444,"HWY 36 WB JEO MANNING AVE N, STILLWATER TOWNSHIP",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER TOWNSHIP,12/21/2024 8:32:28 PM,BP24006546,"Highway 36, STILLWATER TOWNSHIP",V/W HEADLIGHT OUT/FAIL TO DISPLAY CURRENT REG
BAYPORT POLICE DEPARTMENT,WEST LAKELAND TOWNSHIP,12/16/2024 4:46:29 AM,BP24006455,"22nd St N / Saint Croix Trl N, WEST LAKELAND TOWNSHIP",ASSIST OTHER AGENCY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/15/2024 12:29:53 AM,CG24038575,"9XXX  Heath Ave S, COTTAGE GROVE",ASSAULT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/15/2024 1:33:43 AM,CG24038576,"8XXX  Grenadier Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/15/2024 7:03:59 AM,CG24038585,"8XXX  Hemingway Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/15/2024 9:10:44 AM,CG24038589,"8XXX  81st St S, COTTAGE GROVE",PROPERTY DAMAGE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/15/2024 10:58:32 AM,CG24038607,"8XXX  East Point Douglas Rd S, COTTAGE GROVE",PARKING VIOLATION
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/15/2024 11:00:20 AM,CG24038608,"8XXX  Isle Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/15/2024 2:34:52 PM,CG24038618,"8XXX  Jeffery Ave S, COTTAGE GROVE",DISTURBANCE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/15/2024 3:04:36 PM,CG24038619,"6XXX  Pine Arbor Dr S, COTTAGE GROVE",VEHICLE UNLOCK
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/15/2024 3:29:36 PM,CG24038624,"7XXX  73rd St S, COTTAGE GROVE",ANIMAL COMPLAINT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/15/2024 9:18:19 PM,CG24038650,"HWY 61 NB TO JAMAICA AVE S RAMP, COTTAGE GROVE",ACCIDENT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 3:22:39 AM,CG24038672,"6XXX  99th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 5:50:42 AM,CG24038676,"6XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 7:01:54 AM,CG24038677,"9XXX  Janero Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 8:17:05 AM,CG24038684,"6XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 8:17:27 AM,CG24038685,"13XXX  Ravine Pkwy S, COTTAGE GROVE",ASSIST OTHER AGENCY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 9:40:52 AM,CG24038686,"7XXX  Lamar Ave S, COTTAGE GROVE",CITIZEN/PUBLIC ASSIST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 10:10:27 AM,CG24038692,"7XXX  Janero Ct S, COTTAGE GROVE",CITIZEN/PUBLIC ASSIST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 12:16:27 PM,CG24038702,"8XXX  Hemingway Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 1:37:37 PM,CG24038707,"8XXX  80TH ST S, COTTAGE GROVE",DISTURBANCE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 2:09:16 PM,CG24038719,"8XXX  67th Street Ct S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 2:57:36 PM,CG24038724,"9XXX  Hamlet Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 3:15:56 PM,CG24038726,"12XXX  RAVINE PKWY S, COTTAGE GROVE",FOUND PROPERTY/ITEM
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 3:16:54 PM,CG24038729,"6XXX  80th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 4:56:50 PM,CG24038734,"6XXX  92nd St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/16/2024 7:07:39 PM,CG24038747,"6XXX  Iden Ave S, COTTAGE GROVE",DISTURBANCE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 12:00:00 AM,CG24038848,"87XXX -9195 EAST POINT DOUGLAS RD S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 7:01:00 AM,CG24038785,"7XXX  63rd St S, COTTAGE GROVE",WARRANT ARREST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 7:43:25 AM,CG24038786,"6XXX  Pine Arbor Dr S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 8:19:16 AM,CG24038787,"7XXX  East Point Douglas Rd S, COTTAGE GROVE",VEHICLE UNLOCK
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 9:42:57 AM,CG24038790,"12XXX  RAVINE PKWY S, COTTAGE GROVE",Ride Along
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 10:04:46 AM,CG24038791,"9XXX  65th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 10:41:48 AM,CG24038799,"7XXX  71st St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 10:49:33 AM,CG24038800,"12XXX  Ravine Pkwy S, COTTAGE GROVE",FRAUD/SCAM
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 11:20:36 AM,CG24038805,"9XXX  East Point Douglas Rd S, COTTAGE GROVE",SHOPLIFTING
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 11:53:47 AM,CG24038808,"6XXX  80th St S, COTTAGE GROVE",FOUND PROPERTY/ITEM
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 12:19:34 PM,CG24038810,"7XXX  Irish Avenue Ct S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 1:22:34 PM,CG24038817,"8XXX  80TH ST S, COTTAGE GROVE",DISORDERLY CONDUCT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 3:27:20 PM,CG24038835,"6XXX  Inman Alcove S, COTTAGE GROVE",NEIGHBOR DISPUTE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 4:18:37 PM,CG24038839,"8XXX  64TH STREET S, COTTAGE GROVE",OFP VIOLATION
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 5:12:26 PM,CG24038844,"8XXX  Grenadier Ave S, COTTAGE GROVE",ACCIDENT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 5:38:01 PM,CG24038850,"8XXX  Indahl Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 6:00:30 PM,CG24038851,"8XXX  Jody Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 7:00:11 PM,CG24038854,"6XXX  Pine Arbor Dr S, COTTAGE GROVE",PROPERTY DAMAGE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 10:20:55 PM,CG24038866,"7XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 10:34:29 PM,CG24038869,"9XXX  90TH ST S, COTTAGE GROVE",CITIZEN/PUBLIC ASSIST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 11:10:25 PM,CG24038873,"12XXX  RAVINE PKWY S, COTTAGE GROVE",RIDE ALONG
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2024 11:14:53 PM,CG24038874,"6XXX  Innsdale Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/18/2024 8:02:51 AM,CG24038896,"8XXX  Indian Blvd S, COTTAGE GROVE",JUVENILE COMPLAINT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/18/2024 9:23:02 AM,CG24038899,"6XXX  Pine Arbor Blvd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/18/2024 10:21:34 AM,CG24038903,"6XXX  101st St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/18/2024 11:17:00 AM,CG24038916,"8XXX  East Point Douglas Rd S, COTTAGE GROVE",WELFARE CHECK
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/18/2024 12:14:15 PM,CG24038923,"6XXX  91st Cv S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/18/2024 1:05:35 PM,CG24038930,"6XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/18/2024 2:03:22 PM,CG24038932,"9XXX  65TH ST S, COTTAGE GROVE",PARKING COMPLAINT
