AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,12/17/2023 9:16:33 PM,BP23006750,"XXX Minnesota St S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/17/2023 11:25:28 PM,BP23006756,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/18/2023 10:05:58 AM,BP23006760,"XXX 3RD ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/18/2023 10:06:09 AM,BP23006761,"XXX 3RD ST N, BAYPORT",Records check
BAYPORT POLICE DEPARTMENT,BAYPORT,12/18/2023 12:27:49 PM,BP23006765,"XXX 5th St S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/18/2023 1:38:03 PM,BP23006766,"XXX Maine St N, BAYPORT",DANCO VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,12/18/2023 2:36:58 PM,BP23006767,"XXX 4TH AVE N, BAYPORT",Handicapped parking violation
BAYPORT POLICE DEPARTMENT,BAYPORT,12/18/2023 2:44:27 PM,BP23006768,"XXX 4TH AVE N, BAYPORT",Handicapped parking violation
BAYPORT POLICE DEPARTMENT,BAYPORT,12/18/2023 2:48:56 PM,BP23006769,"XXX 4TH AVE N, BAYPORT",Handicapped parking violation
BAYPORT POLICE DEPARTMENT,BAYPORT,12/18/2023 3:02:25 PM,BP23006770,"XXX 4TH AVE N, BAYPORT",Handicapped parking violation
BAYPORT POLICE DEPARTMENT,BAYPORT,12/18/2023 8:10:54 PM,BP23006771,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/18/2023 9:31:47 PM,BP23006772,"XXX Primrose Path N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2023 12:04:34 AM,BP23006773,"XXX Highway 95 N, BAYPORT",LOST PROPERTY/ITEM
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2023 8:55:57 AM,BP23006778,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2023 6:31:23 AM,BP23006786,"XXX 4TH AVE N, BAYPORT",LOCKOUT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2023 8:46:02 AM,BP23006792,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2023 6:53:03 PM,BP23006794,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/21/2023 2:26:29 AM,BP23006799,"Minnesota St S / 3rd Ave S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,12/21/2023 2:28:03 AM,BP23006800,"40XXX -498 MINNESOTA ST S, BAYPORT",V/W - Speed
BAYPORT POLICE DEPARTMENT,BAYPORT,12/21/2023 8:13:03 AM,BP23006801,"60XXX -649 3RD ST N, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,12/21/2023 10:30:06 AM,BP23006806,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/21/2023 2:09:51 PM,BP23006809,"70XXX -741 3RD ST N, BAYPORT",V/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,12/21/2023 9:29:47 PM,BP23006812,"Saint Croix Trl N / 10th Ave N, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/21/2023 9:52:34 PM,BP23006813,"XXX 8th St N, BAYPORT",THREATS
BAYPORT POLICE DEPARTMENT,BAYPORT,12/21/2023 10:16:47 PM,BP23006814,"40XXX -498 3RD ST N, BAYPORT",CITED speed; v/w follow too close
BAYPORT POLICE DEPARTMENT,BAYPORT,12/22/2023 3:56:16 AM,BP23006822,"Minnesota St S / 3rd Ave S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,12/22/2023 7:35:59 PM,BP23006826,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/23/2023 10:28:41 AM,BP23006839,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/23/2023 10:56:49 AM,BP23006840,"XXX Main St N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,STILLWATER,12/21/2023 12:35:30 AM,BP23006798,"1XXX  Monterey Ct, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,12/21/2023 10:37:22 PM,BP23006816,"1XXX  EASTRIDGE CT, STILLWATER","V/W - Failure to maintain single lane, Failed to signal lane change"
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2023 12:41:19 AM,CG23041748,"7XXX  Irvin Ave S, COTTAGE GROVE",UNWANTED PERSON/VEHICLE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2023 7:33:55 AM,CG23041754,"9XXX  East Point Douglas Rd S, COTTAGE GROVE",SHOPLIFTING
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/17/2023 7:44:33 AM,CG23041755,"6XXX  JARVIS BAY S, COTTAGE GROVE",LOST PROPERTY/ITEM
