AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,4/7/2024 1:45:52 AM,BP24001872,"40XXX -498 MINNESOTA ST S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,4/7/2024 2:18:26 AM,BP24001873,"XXX Osprey Blvd, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,4/8/2024 8:22:36 AM,BP24001883,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,4/8/2024 3:12:36 PM,BP24001886,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,4/8/2024 7:49:18 PM,BP24001890,"MINNESOTA ST S / 4TH AVE S, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,4/8/2024 10:34:10 PM,BP24001896,"XXX Highway 95 N, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,4/8/2024 11:39:42 PM,BP24001897,"Highway 95 N / 8TH AVE N, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,4/9/2024 4:49:33 AM,BP24001899,"XX CENTRAL AVE, BAYPORT",V/W NO LIGHTS
BAYPORT POLICE DEPARTMENT,BAYPORT,4/9/2024 5:27:36 AM,BP24001900,"50XXX -598 MINNESOTA ST S, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,4/9/2024 5:35:12 AM,BP24001901,"50XXX -598 MINNESOTA ST S, BAYPORT",W.W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,4/9/2024 5:43:51 AM,BP24001902,"65XXX -699 3RD ST N, BAYPORT",V/W TAIL LIGHT OUT
BAYPORT POLICE DEPARTMENT,BAYPORT,4/9/2024 7:27:30 AM,BP24001903,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/9/2024 8:15:52 AM,BP24001905,"XXX 4TH ST N, BAYPORT",Crosswalk violation
BAYPORT POLICE DEPARTMENT,BAYPORT,4/9/2024 8:52:18 AM,BP24001906,"XXX 9th St N, BAYPORT",FRAUD/SCAM
BAYPORT POLICE DEPARTMENT,BAYPORT,4/9/2024 12:51:06 PM,BP24001907,"XXX Minnesota St S, BAYPORT",FRAUD/SCAM
BAYPORT POLICE DEPARTMENT,BAYPORT,4/9/2024 3:12:33 PM,BP24001909,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,4/9/2024 3:33:50 PM,BP24001910,"XXX 4TH ST N, BAYPORT",PROPERTY DAMAGE
BAYPORT POLICE DEPARTMENT,BAYPORT,4/9/2024 4:48:20 PM,BP24001912,"XXX 4th St S, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,BAYPORT,4/10/2024 2:37:00 AM,BP24001920,"XXX 4th St S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/10/2024 8:42:12 AM,BP24001929,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,4/10/2024 3:28:37 PM,BP24001933,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,4/10/2024 4:14:53 PM,BP24001934,"60XXX -620 MINNESOTA ST S, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,4/10/2024 4:56:00 PM,BP24001935,"Stagecoach Trl N / Inspiration Pkwy S, BAYPORT",CITE - FAIL TO STOP AT STOP LIGHT
BAYPORT POLICE DEPARTMENT,BAYPORT,4/10/2024 5:36:19 PM,BP24001936,"XXX 8th St N, BAYPORT",BURNING COMPLAINT
BAYPORT POLICE DEPARTMENT,Bayport,4/10/2024 5:54:13 PM,BP24001937,"MINNESOTA ST S & OSPREY BLVD, Bayport",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,4/10/2024 6:41:59 PM,BP24001938,"XXX 3rd St N, BAYPORT",SHOPLIFTING
BAYPORT POLICE DEPARTMENT,BAYPORT,4/10/2024 7:32:45 PM,BP24001940,"29XXX -241 PRIMROSE PATH N, BAYPORT",OTHER
BAYPORT POLICE DEPARTMENT,BAYPORT,4/11/2024 3:29:30 AM,BP24001947,"30XXX -399 MINNESOTA ST S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,4/11/2024 7:42:56 AM,BP24001952,"XXX 2ND ST N, BAYPORT",FOUND BICYCLES
BAYPORT POLICE DEPARTMENT,BAYPORT,4/11/2024 8:42:38 AM,BP24001954,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,4/11/2024 11:32:11 AM,BP24001956,"44XXX -498 5TH AVE N, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,4/11/2024 11:38:51 AM,BP24001957,"5th Ave N / 5th St N, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,4/11/2024 12:16:17 PM,BP24001960,"Hwy 95 Jno 8th Ave N, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,4/11/2024 2:05:00 PM,BP24001961,"Maine St S / 2nd Ave S, BAYPORT",CITE - NO MN DL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/11/2024 3:25:59 PM,BP24001963,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,4/11/2024 8:04:11 PM,BP24001967,"XXX 3rd St N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,4/12/2024 12:31:34 AM,BP24001970,"XXX 3RD ST S, BAYPORT",OFFICER INFORMATION
BAYPORT POLICE DEPARTMENT,BAYPORT,4/12/2024 5:21:08 PM,BP24001979,"XXX Pickett St N, BAYPORT",FIGHT
BAYPORT POLICE DEPARTMENT,BAYPORT,4/13/2024 2:58:11 AM,BP24001987,"28XXX -294 LAKE ST S, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,4/13/2024 11:37:11 AM,BP24001990,"XXX 4th St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/13/2024 9:44:32 PM,BP24001996,"INSPIRATION PKWY / PRIMROSE PATH, BAYPORT",In park after hours
BAYPORT POLICE DEPARTMENT,BAYPORT,4/13/2024 10:28:26 PM,BP24001998,"3RD ST N / 4TH AVE N, BAYPORT",DIRECTED PATROL
