AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,8/24/2025 1:39:45 AM,BP25003518,"XXX - 398 MINNESOTA ST S, BAYPORT",DWI
BAYPORT POLICE DEPARTMENT,BAYPORT,8/24/2025 6:44:58 AM,BP25003519,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,8/24/2025 11:20:32 AM,BP25003520,"XX Central Ave, BAYPORT",VEHICLE UNLOCK
BAYPORT POLICE DEPARTMENT,BAYPORT,8/25/2025 1:40:21 AM,BP25003521,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,8/25/2025 7:42:22 AM,BP25003522,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,8/25/2025 2:20:24 PM,BP25003525,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/25/2025 5:07:15 PM,BP25003527,"XXX 4th St N, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,8/25/2025 5:29:51 PM,BP25003528,"3RD ST N / 3RD AVE N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,8/25/2025 9:38:25 PM,BP25003529,"XXX 4th St S, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/25/2025 10:42:45 PM,BP25003530,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/26/2025 7:39:59 AM,BP25003534,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,8/26/2025 9:52:18 AM,BP25003537,"3RD ST N / 3RD AVE N, BAYPORT",PROPERTY DAMAGE
BAYPORT POLICE DEPARTMENT,BAYPORT,8/26/2025 10:41:27 AM,BP25003538,"XXX Mariner Dr, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/26/2025 8:19:49 PM,BP25003542,"XX CENTRAL AVE, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,8/26/2025 8:48:05 PM,BP25003543,"XX CENTRAL AVE, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,8/26/2025 9:15:52 PM,BP25003544,"XX CENTRAL AVE , BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/26/2025 10:36:19 PM,BP25003545,"XXX 4th Ave N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,8/27/2025 2:09:01 PM,BP25003547,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/27/2025 2:18:54 PM,BP25003548,"XXX 3rd St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,8/28/2025 7:24:33 AM,BP25003557,"XXX 4th Ave N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,8/28/2025 9:11:02 AM,BP25003559,"XXX 3RD ST S, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,8/28/2025 11:59:06 AM,BP25003560,"XXX 2nd Ave S, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,8/28/2025 5:25:24 PM,BP25003562,"XXX 8th St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,8/28/2025 6:00:45 PM,BP25003564,"XXX 3rd St N, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,8/28/2025 11:57:56 PM,BP25003566,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,8/29/2025 12:34:55 AM,BP25003567,"XXX Highway 95 N, BAYPORT",LIFT ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/29/2025 7:35:46 AM,BP25003570,"XXX Highway 95 N, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,8/29/2025 7:46:58 AM,BP25003571,"XXX 3RD ST S, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,8/29/2025 10:08:31 AM,BP25003573,"XXX 3rd St N, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,8/29/2025 10:32:55 AM,BP25003574,"XXX 2ND AVE S, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,8/29/2025 2:03:42 PM,BP25003578,"XXX 3RD ST S, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/29/2025 3:00:11 PM,BP25003582,"XXX 3rd St N, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,8/29/2025 3:00:20 PM,BP25003581,"MINNESOTA ST S / 1ST AVE S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,8/29/2025 5:00:59 PM,BP25003583,"5TH AVE N / 9TH ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,8/29/2025 5:17:56 PM,BP25003584,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYTOWN TOWNSHIP,8/24/2025 1:12:37 AM,BP25003517,"4XXX  STAGECOACH TRL N, BAYTOWN TOWNSHIP",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,LAKE SAINT CROIX BEACH,8/30/2025 12:07:07 AM,BP25003587,"16XXX  17th St S, LAKE SAINT CROIX BEACH",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,8/25/2025 1:17:15 PM,BP25003524,"5XXX  STILLWATER BLVD N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,8/25/2025 2:47:38 PM,BP25003526,"5XXX  Osgood Ave N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,8/26/2025 6:37:13 PM,BP25003540,"14XXX  58TH ST N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,8/26/2025 7:16:13 PM,BP25003541,"5XXX  Osgood Ave N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,8/27/2025 3:14:19 PM,BP25003549,"5XXX  - 5899 SAINT CROIX TRL N, OAK PARK HEIGHTS",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,8/27/2025 6:46:20 PM,BP25003550,"5XXX  Omaha Ave N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,8/27/2025 9:27:33 PM,BP25003551,"14XXX  58th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,8/27/2025 10:02:13 PM,BP25003552,"14XXX  58th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,8/28/2025 12:46:36 AM,BP25003554,"SAINT CROIX TRL N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,8/28/2025 8:16:22 PM,BP25003565,"5XXX  STILLWATER BLVD N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,8/29/2025 9:28:20 AM,BP25003572,"14XXX  58th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,8/29/2025 1:26:32 PM,BP25003576,"OSGOOD AVE N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,8/30/2025 6:56:01 AM,BP25003590,"Hwy 95 To Hwy 36 Wb Ramp, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
