AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,12/1/2024 12:53:43 AM,BP24006239,"Hwy 95 / 1st Ave S, BAYPORT",CITED - No proof insurance
BAYPORT POLICE DEPARTMENT,BAYPORT,12/1/2024 2:13:26 AM,BP24006242,"MINNESOTA ST S / 3RD ST S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,12/1/2024 2:51:14 AM,BP24006245,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/1/2024 5:57:14 AM,BP24006246,"XXX Pickett St N, BAYPORT",DEATH INVESTIGATION
BAYPORT POLICE DEPARTMENT,BAYPORT,12/1/2024 8:38:40 AM,BP24006248,"XXX Prairie Way S, BAYPORT",FIRE
BAYPORT POLICE DEPARTMENT,BAYPORT,12/1/2024 12:19:47 PM,BP24006249,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/1/2024 4:58:58 PM,BP24006252,"XXX 5th St N, BAYPORT",PUBLIC WORKS CONCERN
BAYPORT POLICE DEPARTMENT,BAYPORT,12/1/2024 5:30:15 PM,BP24006253,"XXX 3rd St N, BAYPORT",GAS DRIVE OFF
BAYPORT POLICE DEPARTMENT,BAYPORT,12/1/2024 5:39:51 PM,BP24006254,"Hwy 95 / 2nd Ave N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/2/2024 5:39:40 AM,BP24006257,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/2/2024 8:33:56 AM,BP24006258,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/2/2024 2:06:27 PM,BP24006265,"XXX 5th Ave N, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,12/2/2024 3:38:18 PM,BP24006266,"XXX 4TH AVE N, BAYPORT",VEHICLE UNLOCK
BAYPORT POLICE DEPARTMENT,BAYPORT,12/2/2024 3:50:58 PM,BP24006267,"XXX 2ND ST N, BAYPORT",PROPERTY DAMAGE
BAYPORT POLICE DEPARTMENT,BAYPORT,12/2/2024 7:32:57 PM,BP24006268,"XXX 3rd St N, BAYPORT",TRAFFIC COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/2/2024 11:12:34 PM,BP24006270,"XXX 4TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/3/2024 2:26:17 AM,BP24006274,"Hwy 95 At 6th Ave S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,12/3/2024 8:33:08 AM,BP24006275,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/3/2024 9:14:49 AM,BP24006278,"Unknown, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/3/2024 9:53:00 AM,BP24006279,"30XXX -399 MINNESOTA ST S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/3/2024 1:41:20 PM,BP24006280,"XXX 3RD ST N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,12/3/2024 4:05:14 PM,BP24006281,"XXX Highway 95, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/3/2024 4:41:35 PM,BP24006282,"Minnesota St S / 5th Ave S, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/3/2024 11:14:51 PM,BP24006284,"XXX Pickett St N, BAYPORT",INCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/4/2024 7:06:13 PM,BP24006296,"XXX 4TH ST N, BAYPORT",COMMUNITY CONTACT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/4/2024 10:40:19 PM,BP24006299,"XXX Highway 95 N, BAYPORT",LIFT ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/5/2024 4:21:33 AM,BP24006305,"28XXX -293 LAKE ST S, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/5/2024 9:49:23 PM,BP24006308,"90XXX -999 Highway 95 N, BAYPORT",V/W - Failure to drive in single lane x3
BAYPORT POLICE DEPARTMENT,BAYPORT,12/6/2024 8:44:59 AM,BP24006315,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/6/2024 12:24:08 PM,BP24006316,"XXX 3rd St N, BAYPORT",DISTURBANCE
BAYPORT POLICE DEPARTMENT,BAYPORT,12/6/2024 3:10:49 PM,BP24006320,"XXX 3rd St N, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,12/6/2024 3:15:39 PM,BP24006321,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/6/2024 7:24:34 PM,BP24006324,"MINNESOTA ST S / 2ND AVE S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/6/2024 8:23:47 PM,BP24006325,"XXX 4TH AVE N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/7/2024 8:31:34 AM,BP24006334,"Hwy 95 At 3rd Ave S, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,BAYPORT,12/7/2024 9:23:15 AM,BP24006335,"XXX 3rd Ave S, BAYPORT",PROPERTY DAMAGE
BAYPORT POLICE DEPARTMENT,BAYPORT,12/7/2024 11:40:20 AM,BP24006336,"XXX MINNESOTA ST S, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/7/2024 1:04:23 PM,BP24006339,"1XXX  5TH AVE N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/7/2024 3:19:33 PM,BP24006341,"30XXX -399 MINNESOTA ST S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/7/2024 5:19:49 PM,BP24006343,"90XXX -999 Highway 95 N, BAYPORT",MOTORIST ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,12/7/2024 5:25:45 PM,BP24006344,"XXX PICKETT AVE N, BAYPORT",TRAFFIC COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/7/2024 5:40:52 PM,BP24006345,"XXX 4th Ave N, BAYPORT",FIREWORKS
BAYPORT POLICE DEPARTMENT,BAYPORT,12/7/2024 6:06:02 PM,BP24006346,"30XXX -399 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/1/2024 2:16:57 AM,BP24006244,"HWY 36 WB JEO OSGOOD AVE N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/1/2024 2:18:17 AM,BP24006243,"SAINT CROIX TRL N, OAK PARK HEIGHTS",V/W - Failure to maintain lane x4
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/4/2024 2:34:04 AM,BP24006285,"13XXX  58TH ST N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/4/2024 5:39:06 PM,BP24006294,"14XXX  58th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/4/2024 6:29:07 PM,BP24006295,"Saint Croix Trl N / 56th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/4/2024 7:17:49 PM,BP24006297,"14XXX  58TH ST N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/4/2024 8:43:48 PM,BP24006298,"14XXX  58th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/7/2024 8:03:01 AM,BP24006333,"5XXX  Newberry Ave N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,12/7/2024 12:36:26 PM,BP24006338,"6XXX  Lookout Trl N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,WEST LAKELAND TOWNSHIP,12/4/2024 4:33:58 PM,BP24006292,"2XXX  Quant Ave N, WEST LAKELAND TOWNSHIP",ASSIST OTHER AGENCY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/1/2024 6:15:11 AM,CG24037159,"7XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/1/2024 11:01:05 AM,CG24037172,"70th St S / Jamaica Ave S, COTTAGE GROVE",ACCIDENT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/1/2024 11:04:53 AM,CG24037173,"9XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/1/2024 1:57:42 PM,CG24037178,"7XXX  Hinton Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/1/2024 3:03:26 PM,CG24037180,"6XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/1/2024 4:09:35 PM,CG24037192,"7XXX  HEMINGWAY AVE S, COTTAGE GROVE",PROPERTY DAMAGE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/1/2024 4:33:28 PM,CG24037197,"6XXX  80TH ST S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/1/2024 5:43:18 PM,CG24037200,"6XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/1/2024 10:58:00 PM,CG24037256,"80XXX -8219 HYDE AVE S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/2/2024 6:49:18 AM,CG24037286,"80th St S / Hwy 61 Sb To 80th St S Ramp, COTTAGE GROVE",ACCIDENT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/2/2024 9:51:02 AM,CG24037294,"6XXX  HARKNESS AVE S, COTTAGE GROVE",PARKING VIOLATION
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/2/2024 10:00:55 AM,CG24037296,"7XXX  Homestead Ct S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/2/2024 1:08:35 PM,CG24037309,"7XXX  Hinton Ave S, COTTAGE GROVE",THEFT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,12/2/2024 1:19:17 PM,CG24037311,"6XXX  Pine Arbor Dr S, COTTAGE GROVE",THEFT
