AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,4/16/2023 6:16:41 AM,BP23002267,"POINT RD / 10TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/16/2023 1:07:56 PM,BP23002273,"XX Point Rd, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/16/2023 8:02:30 PM,BP23002278,"POINT RD / 10TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/17/2023 4:19:46 AM,BP23002288,"XXX 4th Ave N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,4/17/2023 7:31:21 PM,BP23002294,"POINT RD / 10TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/17/2023 7:45:11 PM,BP23002295,"POINT RD, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,4/17/2023 7:57:02 PM,BP23002298,"LAKE ST, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/17/2023 7:59:09 PM,BP23002299,"LAKESIDE DR s, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/17/2023 8:07:39 PM,BP23002300,"XXX 3RD sT s APT 3, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,4/18/2023 2:12:31 AM,BP23002307,"Minnesota St S / 3rd Ave S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,4/18/2023 3:04:52 AM,BP23002308,"70XXX -972 MINNESOTA ST S, BAYPORT",V/W - Speed
BAYPORT POLICE DEPARTMENT,BAYPORT,4/18/2023 4:06:25 AM,BP23002311,"30XXX -398 MINNESOTA ST S, BAYPORT",V/W - Failure to Maintain Single Lane
BAYPORT POLICE DEPARTMENT,BAYPORT,4/18/2023 7:39:47 PM,BP23002317,"lakeside dr, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/18/2023 7:42:47 PM,BP23002318,"lake st, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/18/2023 8:10:05 PM,BP23002319,"POINT RD / 10TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/18/2023 8:15:17 PM,BP23002320,"XXX 3rd St N, BAYPORT",THEFT
BAYPORT POLICE DEPARTMENT,BAYPORT,4/18/2023 9:09:20 PM,BP23002321,"XXX 3RD ST N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,4/19/2023 4:23:34 AM,BP23002327,"XXX State St S, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,4/19/2023 4:33:47 AM,BP23002328,"60XXX -698 CENTRAL AVE, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,4/19/2023 8:08:41 AM,BP23002329,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
