AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,11/6/2022 2:09:58 AM,BP22007593,"XXX Block 5th Ave N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/6/2022 2:49:43 AM,BP22007594,"XXX 4TH ST N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/6/2022 8:28:13 PM,BP22007599,"3RD ST N & 4TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/6/2022 9:36:03 PM,BP22007600,"3RD ST N / 1ST AVE N, BAYPORT",ROAD HAZARD
BAYPORT POLICE DEPARTMENT,BAYPORT,11/6/2022 10:13:14 PM,BP22007603,"XXX 2ND ST N, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,BAYPORT,11/7/2022 8:46:35 AM,BP22007606,"XXX 3RD ST N, BAYPORT",TRESPASSING
BAYPORT POLICE DEPARTMENT,BAYPORT,11/7/2022 2:55:28 PM,BP22007611,"20XXX -299 3RD ST N, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,11/7/2022 3:06:25 PM,BP22007612,"40XXX -498 MINNESOTA ST S, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,11/7/2022 4:47:14 PM,BP22007613,"XXX INSPIRATION PKWY S, BAYPORT",GUN PERMIT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/7/2022 4:48:30 PM,BP22007614,"XXX OAKWOOD ST S, BAYPORT",GUN PERMIT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/7/2022 7:03:39 PM,BP22007616,"XXX Mariner Dr, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2022 7:30:24 AM,BP22007632,"65XXX -698 ARGUS SQ, BAYPORT",V/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2022 12:00:25 PM,BP22007637,"XXX 6TH ST S, BAYPORT",NOISE COMPLAINT/DISTURBANCE
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2022 1:21:01 PM,BP22007638,"XXX 9th St N, BAYPORT",FRAUD/SCAM
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2022 4:00:10 PM,BP22007640,"3rd St N / 4th Ave N, BAYPORT",CITE - DAC/NO PROOF OF INS
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2022 8:21:57 PM,BP22007646,"XXX 1st Ave N, BAYPORT",ASSAULT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/9/2022 4:35:15 AM,BP22007649,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/9/2022 3:03:28 PM,BP22007653,"POINT RD / 10TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/9/2022 4:01:07 PM,BP22007655,"XXX 1ST AVE N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/9/2022 6:08:55 PM,BP22007660,"INSPIRATION PKWY / PRIMROSE PATH, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/9/2022 6:17:22 PM,BP22007661,"XXX PERIWINKLE PL, BAYPORT","V/W - Failure to stop for STOP sign, Expired Driver's License"
BAYPORT POLICE DEPARTMENT,BAYPORT,11/9/2022 6:32:45 PM,BP22007662,"MINNESOTA ST S / 3RD AVE S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,11/9/2022 7:48:23 PM,BP22007664,"MINNESOTA ST S / 2ND AVE S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/9/2022 11:34:33 PM,BP22007669,"XXX 5th Ave N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/10/2022 12:49:49 AM,BP22007671,"1XXX  INSPIRATION PKWY N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/10/2022 12:59:04 AM,BP22007673,"XXX 4TH ST N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/10/2022 1:38:45 AM,BP22007677,"XXX Block 5th Ave N, BAYPORT",Business Checks
BAYPORT POLICE DEPARTMENT,BAYPORT,11/10/2022 3:39:43 PM,BP22007683,"XXX OAKWOOD ST S, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/10/2022 3:46:11 PM,BP22007684,"3RD ST N & 4TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/10/2022 4:32:34 PM,BP22007685,"Inspiration Pkwy S / Inspiration Place, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/10/2022 6:11:23 PM,BP22007686,"XXX 1ST AVE N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/10/2022 6:58:32 PM,BP22007687,"1XXX  INSPIRATION PKWY N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/10/2022 7:34:13 PM,BP22007689,"PRIMROSE PATH / PIONEER TRL, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/10/2022 10:16:44 PM,BP22007695,"XXX 1ST AVE N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/11/2022 3:41:04 AM,BP22007701,"MINNESOTA ST S / 3RD AVE S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,11/11/2022 4:12:52 AM,BP22007704,"1XXX  INSPIRATION PKWY N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/11/2022 5:46:01 AM,BP22007706,"Maine St S / 2nd Ave S, BAYPORT",VEHICLE UNLOCK
BAYPORT POLICE DEPARTMENT,BAYPORT,11/11/2022 8:37:27 AM,BP22007711,"XXX - 291 PRIMROSE PATH N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/11/2022 9:45:44 AM,BP22007713,"30XXX -399 MINNESOTA ST S, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,11/11/2022 10:57:11 AM,BP22007714,"XXX OAKWOOD ST S, BAYPORT",ORDINANCE VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,11/11/2022 3:25:37 PM,BP22007716,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,11/12/2022 2:13:45 AM,BP22007731,"XXX PRIMROSE PATH N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,11/12/2022 2:18:13 AM,BP22007732,"29XXX -240 PRIMROSE PATH N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,11/12/2022 5:25:46 AM,BP22007733,"8th Ave N / Highway 95 N, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/12/2022 7:42:19 AM,BP22007737,"30XXX -399 MINNESOTA ST S, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,11/12/2022 12:58:34 PM,BP22007742,"MINNESOTA ST S, BAYPORT",W/W SPEED/UNSAFE PASSING/NO POI
BAYPORT POLICE DEPARTMENT,BAYPORT,11/12/2022 4:18:57 PM,BP22007743,"20XXX -298 3RD ST S, BAYPORT",V/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,11/12/2022 7:40:41 PM,BP22007747,"XXX 6th St S, BAYPORT",NOISE COMPLAINT/DISTURBANCE
BAYPORT POLICE DEPARTMENT,BAYPORT,11/12/2022 11:15:04 PM,BP22007753,"75XXX -998 Highway 95 N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,STILLWATER,11/6/2022 1:07:04 AM,BP22007584,"XXX Churchill St W, STILLWATER",MEDICAL
BAYPORT POLICE DEPARTMENT,STILLWATER,11/6/2022 10:46:01 PM,BP22007604,"Hwy 36 Eb At Oakgreen Ave N, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,11/9/2022 11:49:04 PM,BP22007670,"6TH ST S / OLIVE ST W, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,11/10/2022 9:48:12 PM,BP22007696,"1XXX  Bergmann Dr, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,WEST LAKELAND TOWNSHIP,11/11/2022 3:59:10 AM,BP22007702,"22XXX -2898 SAINT CROIX TRL N, WEST LAKELAND TOWNSHIP",V/W -Failure to maintain single lane
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/6/2022 12:54:11 AM,CG22024456,"77XXX -7848 HEARTHSIDE AVE S, COTTAGE GROVE",SUSPICIOUS VEHICLE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/6/2022 1:16:27 AM,CG22024462,"7XXX  Hearthside Ave S, COTTAGE GROVE",WELFARE CHECK
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/6/2022 1:34:54 AM,CG22024461,"Hwy 61 Sb Jno 80th St S, COTTAGE GROVE",ASSIST OTHER AGENCY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/6/2022 1:41:27 AM,CG22024463,"6XXX  Homestead Avenue Ct S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/6/2022 3:53:50 AM,CG22024464,"80TH ST S / HWY 61 NB TO 80TH ST S RAMP, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/6/2022 6:34:00 AM,CG22024465,"72XXX -8169 Highway 61, COTTAGE GROVE",TRAFFIC STOP
