AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,7/30/2023 2:16:36 AM,BP23004538,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,7/30/2023 7:48:31 PM,BP23004540,"XXX 4th Ave N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/30/2023 9:00:45 PM,BP23004543,"XXX perro creek dr s, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/30/2023 11:23:19 PM,BP23004544,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,7/30/2023 11:32:55 PM,BP23004545,"XXX 3RD ST N, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,BAYPORT,7/31/2023 9:14:55 AM,BP23004546,"XXX 3rd st n, BAYPORT",Records request
BAYPORT POLICE DEPARTMENT,BAYPORT,7/31/2023 1:22:19 PM,BP23004549,"XX CENTRAL AVE, BAYPORT",K9 DEMO
BAYPORT POLICE DEPARTMENT,BAYPORT,7/31/2023 3:16:51 PM,BP23004550,"XXX 4th Ave N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,8/1/2023 7:08:22 AM,BP23004564,"XXX 3RD ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/1/2023 8:55:38 AM,BP23004565,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/1/2023 11:10:28 AM,BP23004567,"5TH AVE N / STAGECOACH TRL N, BAYPORT",FOUND PROPERTY/ITEM
BAYPORT POLICE DEPARTMENT,BAYPORT,8/1/2023 1:12:07 PM,BP23004568,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,8/1/2023 5:35:51 PM,BP23004569,"XXX Highway 95 N, BAYPORT",COMMUNITY CONTACT
BAYPORT POLICE DEPARTMENT,BAYPORT,8/1/2023 5:52:59 PM,BP23004570,"XX CENTRAL AVE, BAYPORT",COMMUNITY CONTACT
BAYPORT POLICE DEPARTMENT,BAYPORT,8/1/2023 7:53:38 PM,BP23004572,"XX Central Ave, BAYPORT",FIRE
BAYPORT POLICE DEPARTMENT,BAYPORT,8/2/2023 8:03:28 AM,BP23004583,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/2/2023 11:06:04 AM,BP23004586,"XXX 3RD ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/2/2023 12:50:25 PM,BP23004587,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/2/2023 1:13:48 PM,BP23004589,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,8/2/2023 2:22:17 PM,BP23004590,"XXX State St S, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,8/2/2023 2:35:11 PM,BP23004591,"XXX 1ST AVE N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,8/2/2023 3:31:30 PM,BP23004594,"40XXX -4259 STAGECOACH TRL N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,8/2/2023 3:38:24 PM,BP23004595,"XXX 3rd st n, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/2/2023 3:51:14 PM,BP23004596,"XXX Minnesota St S, BAYPORT",VEHICLE UNLOCK
BAYPORT POLICE DEPARTMENT,BAYPORT,8/3/2023 12:15:55 AM,BP23004604,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,8/3/2023 12:28:27 AM,BP23004605,"XXX 5th Ave N, BAYPORT",Flyers
BAYPORT POLICE DEPARTMENT,BAYPORT,8/3/2023 12:55:17 AM,BP23004606,"XXX INSPIRATION PL, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,8/3/2023 3:10:56 PM,BP23004611,"XX CENTRAL AVE, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,8/3/2023 4:48:25 PM,BP23004612,"XXX 3rd St N, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,8/3/2023 9:52:48 PM,BP23004614,"XXX 3rd st n, BAYPORT",LICENSE
BAYPORT POLICE DEPARTMENT,BAYPORT,8/3/2023 11:45:11 PM,BP23004615,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,8/4/2023 12:23:47 AM,BP23004616,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,8/4/2023 12:32:29 AM,BP23004618,"Minnesota St S / 3rd Ave S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,8/4/2023 6:08:40 AM,BP23004623,"XXX 4th Ave N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,8/4/2023 6:18:33 AM,BP23004624,"XXX 2nd St N, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,8/4/2023 7:57:11 AM,BP23004625,"XX CENTRAL AVE, BAYPORT",K9 DEMONSTRATION
BAYPORT POLICE DEPARTMENT,BAYPORT,8/4/2023 11:29:35 AM,BP23004626,"XXX 3rd St N, BAYPORT",PARKING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,8/4/2023 3:32:31 PM,BP23004630,"XXX 3rd St N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,8/5/2023 4:00:43 PM,BP23004646,"3RD ST N / 1ST AVE N, BAYPORT",CITE - EXPIRED REG
BAYPORT POLICE DEPARTMENT,LAKE ELMO,8/4/2023 11:08:44 PM,BP23004639,"4XXX  STILLWATER WAY N, LAKE ELMO",ASSIST OTHER AGENCY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,7/30/2023 4:36:40 AM,CG23026524,"HWY 61 SB JNO INNOVATION RD S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,7/30/2023 4:59:48 AM,CG23026526,"7XXX  79th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,7/30/2023 7:29:21 AM,CG23026533,"8XXX  East Point Douglas Rd S, COTTAGE GROVE",INCIDENT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,7/30/2023 10:43:21 AM,CG23026560,"8XXX  Idsen Ave S, COTTAGE GROVE",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,7/30/2023 12:06:47 PM,CG23026573,"Indahl Ave S / Ingberg Trl S, COTTAGE GROVE",TRAFFIC COMPLAINT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,7/30/2023 12:50:58 PM,CG23026576,"8XXX  Hadley Ave S, COTTAGE GROVE",WELFARE CHECK
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,7/30/2023 2:23:54 PM,CG23026580,"7XXX  WEST POINT DOUGLAS RD S, COTTAGE GROVE",SUSPICIOUS PERSON/ACTIVITY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,7/30/2023 2:37:49 PM,CG23026583,"6XXX  Goodview Ct S, COTTAGE GROVE",SUSPICIOUS PERSON/ACTIVITY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,7/30/2023 2:52:10 PM,CG23026585,"6XXX  Homestead Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,7/30/2023 3:52:48 PM,CG23026606,"9XXX  East Point Douglas Rd S, COTTAGE GROVE",SUSPICIOUS PERSON/ACTIVITY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,7/30/2023 4:23:51 PM,CG23026608,"87XXX -9195 East Point Douglas Rd S, COTTAGE GROVE",911 ABANDONED/HANGUP/OPEN LINE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,7/30/2023 4:57:47 PM,CG23026610,"95XXX -9599 80TH ST S, COTTAGE GROVE",TRAFFIC STOP
