AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,4/28/2024 1:01:36 AM,BP24002272,"XXX 3RD ST N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/28/2024 8:02:46 PM,BP24002279,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,4/28/2024 8:57:06 PM,BP24002280,"XXX 3rd St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/28/2024 11:49:54 PM,BP24002281,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/29/2024 2:19:13 AM,BP24002282,"XXX 3RD ST N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/29/2024 4:15:15 AM,BP24002286,"Highway 95 N / 10th Ave N, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,4/29/2024 4:36:44 AM,BP24002287,"XXX 5th Ave N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,4/29/2024 8:27:24 AM,BP24002293,"XXX 7th St S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/29/2024 8:48:58 AM,BP24002294,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,4/29/2024 11:36:31 AM,BP24002296,"XXX Highway 95 N, BAYPORT",LIFT ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,4/29/2024 11:58:21 AM,BP24002297,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/29/2024 12:43:41 PM,BP24002298,"XXX 4th St N, BAYPORT",SUICIDE ATTEMPT/THREATS OF
BAYPORT POLICE DEPARTMENT,BAYPORT,4/29/2024 5:41:25 PM,BP24002299,"40XXX -498 MINNESOTA ST S, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,4/29/2024 6:23:04 PM,BP24002300,"62XXX -636 MINNESOTA ST S, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,4/29/2024 8:13:00 PM,BP24002301,"60XXX -699 5TH ST N, BAYPORT",V/W - Failure to maintain single lane
BAYPORT POLICE DEPARTMENT,BAYPORT,4/29/2024 8:24:05 PM,BP24002302,"52XXX -5599 STAGECOACH TRL N, BAYPORT",V/W - Failure to maintain single lane.
BAYPORT POLICE DEPARTMENT,BAYPORT,4/29/2024 10:47:52 PM,BP24002304,"XX central ave , BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,4/30/2024 12:25:37 AM,BP24002308,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,4/30/2024 8:31:56 AM,BP24002312,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,4/30/2024 10:34:00 AM,BP24002313,"XXX 2nd St N, BAYPORT",DANGEROUS/POTENTIALLY DANGEROUS DOG
BAYPORT POLICE DEPARTMENT,BAYPORT,4/30/2024 10:37:00 AM,BP24002314,"10XXX -198 5TH AVE N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,4/30/2024 10:53:00 AM,BP24002315,"10XXX -198 5TH AVE N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,4/30/2024 10:59:00 AM,BP24002316,"10XXX -198 5TH AVE N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,4/30/2024 11:05:00 AM,BP24002317,"10XXX -198 5TH AVE N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,4/30/2024 11:15:00 AM,BP24002318,"10XXX -198 5TH AVE N, BAYPORT",PARKING VIOLATION
