AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,10/8/2023 2:35:50 AM,BP23005686,"XX point road, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,10/8/2023 12:37:48 PM,BP23005689,"XXX 3rd St N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,10/8/2023 7:06:49 PM,BP23005690,"XX Point Rd, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,10/9/2023 2:36:22 AM,BP23005693,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,10/9/2023 2:57:39 AM,BP23005696,"XX point road, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,10/9/2023 3:42:08 AM,BP23005700,"XXX Block 5th Ave N, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,10/9/2023 8:41:03 AM,BP23005703,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,10/9/2023 11:50:44 AM,BP23005705,"XXX LAKESIDE DR S, BAYPORT",NOISE COMPLAINT/DISTURBANCE
BAYPORT POLICE DEPARTMENT,BAYPORT,10/9/2023 3:29:35 PM,BP23005708,"XXX 4th st n, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,10/9/2023 9:09:46 PM,BP23005711,"Minnesota St S / Osprey Blvd, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,10/10/2023 2:55:54 AM,BP23005720,"XXX 4TH AVE N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,10/10/2023 8:37:06 AM,BP23005725,"XXX 4th st n, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,10/10/2023 9:30:56 AM,BP23005726,"XXX MINNESOTA ST S, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,10/10/2023 10:15:38 AM,BP23005728,"XXX 3RD ST N, BAYPORT",FOUND PROPERTY/ITEM
BAYPORT POLICE DEPARTMENT,BAYPORT,10/10/2023 10:52:24 AM,BP23005730,"XXX 3rd St S, BAYPORT",GUN PERMIT
BAYPORT POLICE DEPARTMENT,BAYPORT,10/10/2023 3:54:27 PM,BP23005733,"Stagecoach Trl N / 56th St N, BAYPORT",MOTORIST ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,10/10/2023 5:00:13 PM,BP23005735,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,10/11/2023 6:36:52 AM,BP23005741,"XXX 3rd St S, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,10/11/2023 9:00:59 AM,BP23005747,"XXX 4th st n, BAYPORT",SCHOOL CROSSING
