AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2023 1:02:04 AM,BP23000461,"XXX Oakwood St S, BAYPORT",INTERNET CRIMES
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2023 1:14:15 PM,BP23000469,"XX POINT RD, BAYPORT",WANTED PERSON-KOPS ALERT/ATL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2023 1:58:41 PM,BP23000471,"XXX 3RD ST S, BAYPORT",FAMILY ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2023 4:44:09 PM,BP23000474,"XX Point Rd, BAYPORT",THEFT
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2023 8:21:49 PM,BP23000480,"40XXX -499 3RD ST N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2023 8:40:51 PM,BP23000482,"50XXX -599 4TH ST N, BAYPORT",V/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2023 9:00:46 PM,BP23000483,"XXX 3RD ST S, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2023 9:07:09 PM,BP23000484,"74XXX -799 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2023 9:13:03 PM,BP23000485,"XXX 2ND ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2023 2:24:30 PM,BP23000489,"3RD ST S / 2ND AVE S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2023 3:21:13 PM,BP23000491,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2023 4:59:29 PM,BP23000495,"5TH ST N / 1ST AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2023 7:08:16 PM,BP23000496,"Stagecoach Trl N / 5th Ave N, BAYPORT",MOTORIST ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2023 8:08:13 PM,BP23000497,"XXX 5th Ave N, BAYPORT",PROPERTY DAMAGE
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 1:15:12 AM,BP23000500,"MINNESOTA ST S / 3RD AVE S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 1:26:54 AM,BP23000502,"XXX 2ND ST N, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 2:19:00 AM,BP23000505,"3RD ST S / 2nd Ave S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 2:26:19 AM,BP23000506,"20XXX -249 2ND AVE S, BAYPORT",V/W - Speed
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 2:42:39 AM,BP23000508,"5TH ST N / 1ST AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 10:16:36 AM,BP23000513,"10XXX -199 5TH AVE N, BAYPORT",CITE - PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 10:17:11 AM,BP23000514,"XXX 5TH AVE S, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 10:20:19 AM,BP23000515,"10XXX -199 5TH AVE N, BAYPORT",CITE - PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 10:23:16 AM,BP23000516,"XXX 5TH AVE N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 10:24:26 AM,BP23000517,"10XXX -199 5TH AVE N, BAYPORT",CITE - PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 10:28:09 AM,BP23000518,"XXX 5TH AVE N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 10:28:18 AM,BP23000519,"10XXX -199 5TH AVE N, BAYPORT",CITE - PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 10:31:47 AM,BP23000520,"10XXX -199 5TH AVE N, BAYPORT",CITE - PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 10:36:34 AM,BP23000521,"10XXX -199 5TH AVE N, BAYPORT",CITE - PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 3:52:49 PM,BP23000523,"1XXX  INSPIRATION PKWY, BAYPORT",City Ord
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 6:13:45 PM,BP23000524,"10th Ave N / Saint Croix Trl N, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2023 6:36:41 PM,BP23000525,"HWY 95 AT 10TH AVE N, BAYPORT",V/W HEADLIGHT VIOL
