AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2023 12:03:41 AM,BP23004228,"50XXX -598 MINNESOTA ST S, BAYPORT",CITE - MOTORCYCLE PERMIT VIOL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2023 12:09:20 AM,BP23004229,"XXX Oakwood St S, BAYPORT",DWI - 3rd Degree
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2023 2:57:13 AM,BP23004230,"Unknown, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2023 4:10:59 AM,BP23004231,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2023 7:20:49 AM,BP23004232,"XXX Highway 95 N, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2023 9:05:55 AM,BP23004233,"XXX Maine St N, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2023 9:08:38 AM,BP23004234,"XXX 4th St N, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2023 2:42:16 PM,BP23004236,"XXX 3rd St N, BAYPORT",FOUND PROPERTY/ITEM
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2023 5:23:17 PM,BP23004239,"Minnesota St S / 7th Ave S, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2023 7:26:35 PM,BP23004241,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2023 10:20:51 PM,BP23004243,"XXX State St N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2023 11:24:19 PM,BP23004247,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,7/17/2023 12:27:35 AM,BP23004248,"XXX 3rd St S, BAYPORT",LIFT ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/17/2023 5:36:52 AM,BP23004249,"XXX Highway 95 N, BAYPORT",LIFT ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/17/2023 7:38:50 AM,BP23004251,"XXX 4TH ST N, BAYPORT",School Crossing
BAYPORT POLICE DEPARTMENT,BAYPORT,7/17/2023 8:12:29 AM,BP23004252,"XXX 4TH ST N, BAYPORT",COMMUNITY CONTACT
BAYPORT POLICE DEPARTMENT,BAYPORT,7/17/2023 8:44:11 AM,BP23004254,"XXX PRIMROSE PATH, BAYPORT",ADMIN
BAYPORT POLICE DEPARTMENT,BAYPORT,7/17/2023 7:34:42 PM,BP23004260,"XXX 7th St N, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/17/2023 9:04:43 PM,BP23004262,"3RD ST N / 4TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/18/2023 12:24:13 AM,BP23004263,"XXX 4th Ave N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/18/2023 7:50:25 AM,BP23004269,"XXX 4TH ST N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/18/2023 11:10:18 AM,BP23004272,"Unknown, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/18/2023 12:39:55 PM,BP23004273,"XXX 4TH ST N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/18/2023 8:54:35 PM,BP23004277,"XXX 2ND ST N, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,7/18/2023 9:31:14 PM,BP23004279,"XX CENTRAL AVE, BAYPORT",Assist to Public Works
BAYPORT POLICE DEPARTMENT,BAYPORT,7/19/2023 4:05:30 AM,BP23004283,"XXX LAKESIDE DR S, BAYPORT",ORDINANCE VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,7/19/2023 7:36:09 PM,BP23004289,"XX Point Rd, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/19/2023 8:04:51 PM,BP23004290,"XX Point Rd, BAYPORT",ROAD HAZARD
BAYPORT POLICE DEPARTMENT,BAYPORT,7/19/2023 8:21:12 PM,BP23004292,"3rd st n / 5th ave n, BAYPORT",ROAD HAZARD
BAYPORT POLICE DEPARTMENT,BAYPORT,7/19/2023 8:22:10 PM,BP23004293,"Minnesota St S / 5th Ave S, BAYPORT",ROAD HAZARD
BAYPORT POLICE DEPARTMENT,BAYPORT,7/19/2023 10:33:35 PM,BP23004295,"Minnesota St S / Osprey Blvd, BAYPORT",CITE - DAS/NO PROOF OF INS
BAYPORT POLICE DEPARTMENT,BAYPORT,7/19/2023 11:07:20 PM,BP23004296,"XX CENTRAL AVE, BAYPORT",PARK CLOSE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/19/2023 11:14:47 PM,BP23004297,"40XXX -518 LAKESIDE DR S, BAYPORT",ROAD HAZARD
BAYPORT POLICE DEPARTMENT,BAYPORT,7/19/2023 11:23:35 PM,BP23004299,"XXX 4th Ave N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/20/2023 7:10:19 AM,BP23004304,"XX CENTRAL AVE, BAYPORT",Park reservations
BAYPORT POLICE DEPARTMENT,BAYPORT,7/20/2023 8:32:08 AM,BP23004306,"XXX INSPIRATION PKWY N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/20/2023 8:34:58 AM,BP23004307,"XXX 5th Ave N, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,7/20/2023 8:37:44 AM,BP23004308,"XXX 7TH ST N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/20/2023 9:24:33 AM,BP23004311,"XXX 5th Ave N, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,7/20/2023 12:48:14 PM,BP23004312,"Hwy 95 / 10th Ave N, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,7/20/2023 5:34:12 PM,BP23004318,"50XXX -598 MINNESOTA ST S, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,7/20/2023 5:55:18 PM,BP23004319,"XXX 5th Ave N, BAYPORT",MOTORIST ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/20/2023 6:14:04 PM,BP23004320,"Saint Croix Trl N / 56th St N, BAYPORT",W/W SEATBELT VIOL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/21/2023 12:28:32 AM,BP23004328,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,7/21/2023 4:26:22 AM,BP23004334,"XX Point Rd, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,7/21/2023 4:40:59 AM,BP23004335,"Minnesota St S / 3rd Ave S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,7/21/2023 8:26:47 AM,BP23004336,"XXX 5th St S, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/21/2023 4:05:22 PM,BP23004341,"XXX MINNESOTA ST S, BAYPORT",ORDINANCE VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,7/21/2023 10:06:54 PM,BP23004363,"70XXX -973 MINNESOTA ST S, BAYPORT",TZD - W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,7/21/2023 10:19:03 PM,BP23004364,"XX CENTRAL AVE, BAYPORT",Park close
BAYPORT POLICE DEPARTMENT,BAYPORT,7/21/2023 10:29:31 PM,BP23004365,"3RD ST S / 1ST AVE S, BAYPORT",Stationary Radar
BAYPORT POLICE DEPARTMENT,BAYPORT,7/22/2023 12:23:00 AM,BP23004370,"70XXX -973 MINNESOTA ST S, BAYPORT",TZD - W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,7/22/2023 8:42:23 AM,BP23004375,"XXX 5th Ave N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/22/2023 10:50:31 AM,BP23004376,"XXX Lakeside Dr S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/22/2023 4:13:31 PM,BP23004383,"5TH AVE N / 2ND ST N, BAYPORT",PUBLIC WORKS CONCERN
BAYPORT POLICE DEPARTMENT,BAYPORT,7/22/2023 4:21:30 PM,BP23004384,"10th Ave / Point Rd, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYTOWN TOWNSHIP,7/20/2023 7:43:09 PM,BP23004323,"4XXX  Stagecoach Trl N, BAYTOWN TOWNSHIP",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,DENMARK TOWNSHIP,7/20/2023 6:04:15 AM,BP23004303,"6XXX  PELLER AVE S, DENMARK TOWNSHIP",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,LAKELAND,7/20/2023 6:37:02 PM,BP23004321,"1XXX  Quentin Ave S, LAKELAND",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAKDALE,7/21/2023 7:33:18 PM,BP23004352,"XX HWY 36 WB JWO I694, OAKDALE",TZD - W/W SPEED
BAYPORT POLICE DEPARTMENT,OAKDALE,7/21/2023 7:44:56 PM,BP23004353,"XX HWY 36 WB TO GLENBROOK AVE N RAMP, OAKDALE",TZD - W/W SPEED
BAYPORT POLICE DEPARTMENT,PINE SPRINGS,7/21/2023 6:28:09 PM,BP23004344,"Highway 36 / I 694, PINE SPRINGS",TZD ? CITE SPEED 73/55
BAYPORT POLICE DEPARTMENT,PINE SPRINGS,7/21/2023 9:05:24 PM,BP23004359,"HWY 36 / I694, PINE SPRINGS",TZD - CITE - SPEED 74/55
BAYPORT POLICE DEPARTMENT,SAINT PAUL PARK,7/22/2023 1:14:39 AM,BP23004371,"1XXX  8th Ave, SAINT PAUL PARK",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,SAINT PAUL PARK,7/22/2023 2:17:01 AM,BP23004372,"XXX 9th Ave W, SAINT PAUL PARK",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,STILLWATER,7/21/2023 8:04:37 PM,BP23004356,"Hwy 36 Eb Jeo Norell Ave N, STILLWATER",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,STILLWATER,7/22/2023 12:05:38 AM,BP23004368,"40XXX -1028 MAIN ST S, STILLWATER",TZD - CITE - NO PROOF OF INS
