AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,8/11/2024 6:14:00 AM,BP24004375,"XXX 5TH AVE N, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,8/11/2024 10:46:00 AM,BP24004376,"HWY 95 AT 4TH AVE N, BAYPORT",WW - Stop Sign Violation
BAYPORT POLICE DEPARTMENT,BAYPORT,8/11/2024 1:39:00 PM,BP24004377,"XXX Pickett St N, BAYPORT","WW - Speed, Driver's Side Brake Light INOP and NPOI"
BAYPORT POLICE DEPARTMENT,BAYPORT,8/11/2024 1:39:00 PM,BP24004378,"Unknown, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/11/2024 7:37:00 PM,BP24004383,"XXX 4th St S, BAYPORT",HARASSMENT
BAYPORT POLICE DEPARTMENT,BAYPORT,8/11/2024 9:08:00 PM,BP24004385,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/12/2024 5:18:00 AM,BP24004387,"XXX 1st Ave N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/12/2024 10:32:00 AM,BP24004388,"XXX 5th Ave N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,8/12/2024 11:04:00 AM,BP24004389,"Unknown, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/12/2024 3:43:00 PM,BP24004390,"XXX Highway 95 N, BAYPORT",VEHICLE UNLOCK
BAYPORT POLICE DEPARTMENT,BAYPORT,8/12/2024 8:47:16 PM,BP24004393,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/13/2024 5:00:00 PM,BP24004398,"XXX Highway 95, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,8/13/2024 8:47:53 PM,BP24004403,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/14/2024 11:49:00 AM,BP24004413,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,8/14/2024 4:49:48 PM,BP24004415,"XXX 6th Ave N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,8/14/2024 6:13:00 PM,BP24004418,"3rd St N/1st Ave N, BAYPORT",WW No Registration Displayed
BAYPORT POLICE DEPARTMENT,BAYPORT,8/14/2024 7:00:00 PM,BP24004414,"XXX 2ND ST N, BAYPORT",WARRANT ARREST
BAYPORT POLICE DEPARTMENT,BAYPORT,8/14/2024 10:31:00 PM,BP24004419,"XXX 5th St N, BAYPORT",FIREWORKS
BAYPORT POLICE DEPARTMENT,BAYPORT,8/14/2024 11:40:00 PM,BP24004425,"STAGECOACH TRL N, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,8/15/2024 2:17:00 PM,BP24004428,"XXX Lakeside Bay S, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,8/15/2024 5:52:00 PM,BP24004432,"MINNESOTA ST S / OSPREY BLVD, BAYPORT",CITE - EXPIRED REG
BAYPORT POLICE DEPARTMENT,BAYPORT,8/15/2024 6:09:00 PM,BP24004433,"XXX 4th Ave N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,8/15/2024 7:22:00 PM,BP24004434,"XXX 3rd St N, BAYPORT",FOLLOW UP
