AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,3/26/2023 7:13:03 PM,BP23001808,"Hwy 95 / 10th Ave N, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,3/26/2023 9:36:55 PM,BP23001814,"90XXX -949 INSPIRATION PKWY S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/27/2023 1:37:53 AM,BP23001823,"XXX 3RD ST S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/27/2023 6:31:43 PM,BP23001829,"XXX Central Ave, BAYPORT",PROPERTY DAMAGE
BAYPORT POLICE DEPARTMENT,BAYPORT,3/27/2023 10:02:28 PM,BP23001833,"3rd St N / 4th Ave N, BAYPORT",Stationary Radar
BAYPORT POLICE DEPARTMENT,BAYPORT,3/28/2023 9:14:27 AM,BP23001836,"XXX 4th Ave N, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,3/28/2023 12:41:32 PM,BP23001840,"30XXX -398 MINNESOTA ST S, BAYPORT",VW/Speed
BAYPORT POLICE DEPARTMENT,BAYPORT,3/28/2023 2:30:19 PM,BP23001841,"1XXX  5TH AVE N, BAYPORT",VW/Speed
BAYPORT POLICE DEPARTMENT,BAYPORT,3/28/2023 3:28:49 PM,BP23001842,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,3/28/2023 4:43:47 PM,BP23001843,"XXX 4th St S, BAYPORT",FRAUD/SCAM
BAYPORT POLICE DEPARTMENT,BAYPORT,3/28/2023 6:13:57 PM,BP23001844,"XXX CENTRAL AVE, BAYPORT",PROPERTY DAMAGE
BAYPORT POLICE DEPARTMENT,BAYPORT,3/29/2023 2:04:19 AM,BP23001851,"XXX 3RD ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,3/29/2023 2:12:29 AM,BP23001852,"3RD ST S / 1ST AVE S, BAYPORT",Stationary Radar
BAYPORT POLICE DEPARTMENT,BAYPORT,3/29/2023 6:58:18 AM,BP23001853,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/29/2023 8:29:56 AM,BP23001856,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,3/29/2023 10:11:34 AM,BP23001857,"XXX 4th Ave N, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,3/29/2023 11:26:00 AM,BP23001858,"XXX 3RD ST N, BAYPORT",PD TOUR
BAYPORT POLICE DEPARTMENT,BAYPORT,3/29/2023 5:27:08 PM,BP23001859,"XXX 5th Ave N, BAYPORT",GAS SMELL
