AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,10/30/2023 1:59:35 PM,BP23006001,"XX Central Ave, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,10/30/2023 5:50:45 PM,BP23006003,"XXX Minnesota St S, BAYPORT",DEER TAG
BAYPORT POLICE DEPARTMENT,BAYPORT,10/30/2023 10:02:53 PM,BP23006009,"91XXX -974 OSPREY BLVD, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,10/31/2023 4:53:04 AM,BP23006013,"XXX 3RD ST S, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,10/31/2023 8:26:55 AM,BP23006014,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,10/31/2023 10:52:42 AM,BP23006017,"XXX 3rd St S, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,10/31/2023 9:19:51 PM,BP23006023,"XXX 4TH ST N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,10/31/2023 10:36:40 PM,BP23006025,"60XXX -620 MINNESOTA ST S, BAYPORT",V/W - Expired Registration
BAYPORT POLICE DEPARTMENT,BAYPORT,10/31/2023 11:15:08 PM,BP23006027,"XXX Minnesota St S, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/1/2023 6:20:26 AM,BP23006028,"XXX Prairie Way S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/1/2023 8:25:48 PM,BP23006038,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/3/2023 2:03:20 PM,BP23006060,"XXX 4th St N, BAYPORT",PROPERTY DAMAGE
BAYPORT POLICE DEPARTMENT,BAYPORT,11/3/2023 2:57:49 PM,BP23006061,"XXX 6th St N, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,11/3/2023 8:39:37 PM,BP23006064,"POINT RD, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,11/4/2023 4:17:09 PM,BP23006077,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/4/2023 8:35:22 PM,BP23006078,"XXX Highway 95 N, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,STILLWATER,10/30/2023 11:53:40 PM,BP23006011,"XXX Pine St W, STILLWATER",ASSIST OTHER AGENCY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 5:53:26 AM,CG23037400,"7XXX  Iden Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 7:50:27 AM,CG23037401,"6XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 8:20:10 AM,CG23037402,"6XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 8:43:39 AM,CG23037403,"7XXX  East Point Douglas Rd S, COTTAGE GROVE",ACCIDENT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 9:07:34 AM,CG23037405,"8XXX  80th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 9:42:28 AM,CG23037407,"7XXX  East Point Douglas Rd S, COTTAGE GROVE",SHOPLIFTING
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 11:05:31 AM,CG23037412,"9XXX  71st Bay S, COTTAGE GROVE",FIRE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 12:46:44 PM,CG23037414,"7XXX  Homestead Ave S, COTTAGE GROVE",ANIMAL COMPLAINT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 1:05:20 PM,CG23037415,"7XXX  Meadow Grass Cv S, COTTAGE GROVE",DEATH
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 2:26:06 PM,CG23037418,"Hardwood Ave S / 80th St S, COTTAGE GROVE",ACCIDENT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 4:02:41 PM,CG23037421,"6XXX  Homestead Ln S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 4:24:00 PM,CG23000718,"9XXX  Jareau Ave S, COTTAGE GROVE",NEIGHBOR DISPUTE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 5:33:03 PM,CG23037440,"Idsen Ave S / 71st St S, COTTAGE GROVE",ACCIDENT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 7:09:39 PM,CG23037447,"8XXX  Hadley Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 9:59:48 PM,CG23037460,"8XXX  90th St S, COTTAGE GROVE",HARASSMENT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 10:37:26 PM,CG23037470,"8XXX  East Point Douglas Rd S, COTTAGE GROVE",WELFARE CHECK
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/29/2023 11:51:07 PM,CG23037485,"6XXX  East Point Douglas Rd S, COTTAGE GROVE",LIFT ASSIST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 12:02:28 AM,CG23037486,"8XXX  Johansen Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 3:30:36 AM,CG23037520,"6XXX  80TH ST S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 6:41:37 AM,CG23037521,"7XXX  Hearthside Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 7:21:47 AM,CG23037524,"Hardwood Ave S / Timber Crest Dr S, COTTAGE GROVE",STOP ARM VIOLATION
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 8:09:12 AM,CG23037528,"8XXX  Hale Ave S, COTTAGE GROVE",ANIMAL COMPLAINT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 8:10:19 AM,CG23037529,"12XXX  Ravine Pkwy S, COTTAGE GROVE",CITIZEN/PUBLIC ASSIST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 8:39:24 AM,CG23037530,"6XXX  Hyde Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 9:37:56 AM,CG23037534,"6XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 10:08:07 AM,CG23037537,"7XXX  East Point Douglas Rd S, COTTAGE GROVE",THEFT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 2:47:32 PM,CG23037565,"6XXX  Goodview Ave S, COTTAGE GROVE",SCHOOL/STUDENT ISSUE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 2:50:31 PM,CG23037566,"East Point Douglas Rd S / Jamaica Ave S, COTTAGE GROVE",ACCIDENT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 3:37:40 PM,CG23037571,"8XXX  Ironwood Ave S, COTTAGE GROVE",IDENTITY THEFT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 4:08:55 PM,CG23037576,"6XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 4:44:42 PM,CG23037591,"76XXX -7580 80TH ST S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 5:26:17 PM,CG23037599,"7XXX  East Point Douglas Rd S, COTTAGE GROVE",DISTURBANCE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 5:41:44 PM,CG23037605,"7XXX  97th St S, COTTAGE GROVE",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 5:46:51 PM,CG23037608,"7XXX  East Point Douglas Rd S, COTTAGE GROVE",VEHICLE UNLOCK
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 5:50:27 PM,CG23037609,"11XXX  Manning Ave S, COTTAGE GROVE",SUICIDE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 6:23:54 PM,CG23037613,"12XXX  Ravine Pkwy S, COTTAGE GROVE",CIVIL MATTER/DISPUTE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 7:11:56 PM,CG23037615,"12XXX  Ravine Pkwy S, COTTAGE GROVE",CIVIL MATTER/DISPUTE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 7:25:04 PM,CG23037614,"8XXX  Ivywood Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 8:50:04 PM,CG23037628,"9XXX  79th St S, COTTAGE GROVE",ASSIST OTHER AGENCY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 9:05:24 PM,CG23037629,"6XXX  80th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 10:36:15 PM,CG23037638,"6XXX  80th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/30/2023 11:04:20 PM,CG23037647,"7XXX  Hardwood Ct S, COTTAGE GROVE",DISTURBANCE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/31/2023 1:45:36 AM,CG23037655,"8XXX  EAST POINT DOUGLAS RD S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,10/31/2023 7:23:49 AM,CG23037673,"6XXX  Jody Ave S, COTTAGE GROVE",MEDICAL
