AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,1/21/2024 10:46:30 AM,BP24000380,"XXX 6th St N, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,1/21/2024 12:33:49 PM,BP24000382,"3rd St N / 3rd Ave N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2024 9:53:13 AM,BP24000402,"80XXX -899 Highway 95 N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2024 1:51:00 PM,BP24000404,"35XXX -442 5TH AVE N, BAYPORT",CITE - NO PROOF OF INSURANCE
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2024 2:15:32 PM,BP24000405,"70XXX -973 MINNESOTA ST S, BAYPORT",V/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2024 2:38:35 PM,BP24000406,"70XXX -972 MINNESOTA ST S, BAYPORT",V/W USE OF COMM DEVICE
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2024 9:40:49 PM,BP24000410,"75XXX -998 Highway 95 N, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2024 11:00:22 PM,BP24000414,"XXX 2ND ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2024 11:46:22 PM,BP24000416,"35XXX -442 5TH AVE N, BAYPORT",V/W - Expired Registration
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2024 9:49:52 AM,BP24000425,"XXX 4th St N, BAYPORT",RUNAWAY
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2024 10:45:45 AM,BP24000426,"XXX Mariner Dr, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2024 2:36:45 PM,BP24000430,"Hwy 95 At Central Ave, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2024 4:23:19 PM,BP24000431,"XXX 3rd St S, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2024 10:27:59 PM,BP24000434,"30XXX -398 2ND AVE N, BAYPORT","CITED - No Proof of Insurance, Expired Registration"
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2024 11:45:13 PM,BP24000437,"Highway 95 N / 10th Ave N, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2024 6:58:46 AM,BP24000440,"XXX 3rd St N, BAYPORT",THEFT FROM MOTOR VEHICLE
BAYPORT POLICE DEPARTMENT,BAYTOWN TOWNSHIP,1/22/2024 4:06:59 PM,BP24000407,"15XXX -15499 30TH ST N, BAYTOWN TOWNSHIP",V/W FAIL TO MAINTAIN LANE
BAYPORT POLICE DEPARTMENT,STILLWATER,1/23/2024 3:31:37 AM,BP24000419,"XXX 3rd St S, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,1/24/2024 12:38:43 PM,BP24000442,"2XXX  Frontage Rd W, STILLWATER",OFFICER INFORMATION
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,1/21/2024 12:35:29 AM,CG24002267,"7XXX  Hardwood Ave S, COTTAGE GROVE",WARRANT ARREST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,1/21/2024 12:38:00 AM,CG24002268,"Hwy 61/70th, COTTAGE GROVE",DWI
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,1/21/2024 9:11:37 AM,CG24002275,"6XXX  EAST POINT DOUGLAS RD S, COTTAGE GROVE",MEDICAL
