AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,2/4/2024 11:31:05 AM,BP24000647,"XXX 5th St S, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,2/4/2024 12:20:23 PM,BP24000648,"XXX 3rd St N, BAYPORT",COMMUNITY CONTACT
BAYPORT POLICE DEPARTMENT,BAYPORT,2/4/2024 12:47:33 PM,BP24000649,"XXX 5th Ave N, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,2/4/2024 3:23:15 PM,BP24000651,"Stagecoach Trl / 5th Ave N, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,2/4/2024 7:24:18 PM,BP24000652,"20XXX -298 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,2/4/2024 7:31:25 PM,BP24000653,"60XXX -648 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,2/4/2024 7:42:56 PM,BP24000654,"30XXX -398 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,2/4/2024 7:53:08 PM,BP24000655,"20XXX -299 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,2/4/2024 8:32:01 PM,BP24000659,"70XXX -741 3RD ST N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,2/4/2024 8:50:15 PM,BP24000660,"60XXX -620 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,2/5/2024 4:30:43 AM,BP24000664,"XXX 4TH AVE N, BAYPORT",MEDICAL
