AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,10/19/2025 3:21:11 PM,BP25004199,"XXX 4th St S, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,10/19/2025 3:38:04 PM,BP25004200,"Hwy 95 At 7th Ave N, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,10/19/2025 6:51:35 PM,BP25004201,"MINNESOTA ST S / 2ND AVE S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,10/19/2025 7:28:25 PM,BP25004202,"XX Point Rd, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,10/20/2025 10:08:48 AM,BP25004205,"3rd St N / 3rd Ave N, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,10/20/2025 11:54:54 AM,BP25004206,"Unknown, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,10/20/2025 12:19:17 PM,BP25004207,"XXX 4th St S, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,10/20/2025 1:44:34 PM,BP25004208,"XXX 4TH AVE N, BAYPORT",NOISE COMPLAINT/DISTURBANCE
BAYPORT POLICE DEPARTMENT,BAYPORT,10/21/2025 7:35:51 AM,BP25004210,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,10/21/2025 12:30:43 PM,BP25004212,"XXX 3RD ST N, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,10/21/2025 12:52:17 PM,BP25004213,"XXX 4th Ave N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,10/21/2025 1:45:42 PM,BP25004214,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,10/21/2025 2:19:24 PM,BP25004215,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,10/21/2025 2:57:29 PM,BP25004216,"XXX - 399 4TH ST S, BAYPORT",PARKING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,10/24/2025 7:40:25 AM,BP25004229,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,10/24/2025 2:21:32 PM,BP25004231,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,10/25/2025 12:04:01 PM,BP25004241,"XXX 3rd St N, BAYPORT",CHILD CUSTODY
BAYPORT POLICE DEPARTMENT,BAYPORT,10/25/2025 4:27:34 PM,BP25004242,"PLANTERS PATH, BAYPORT",COMMUNITY CONTACT
BAYPORT POLICE DEPARTMENT,LAKELAND,10/21/2025 3:15:36 AM,BP25004209,"XXX Saint Croix Trl S, LAKELAND",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,10/20/2025 12:05:36 AM,BP25004203,"14XXX  60th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,10/20/2025 12:35:21 AM,BP25004204,"14XXX  - 15249 60TH ST N, OAK PARK HEIGHTS",SUSPICIOUS PERSON/ACTIVITY
