AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,1/26/2025 1:40:34 PM,BP25000374,"1XXX  Pioneer Trl, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,1/26/2025 10:08:29 PM,BP25000378,"XXX 2ND ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,1/27/2025 5:44:11 AM,BP25000380,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/27/2025 7:14:09 AM,BP25000381,"3rd Ave S / Minnesota St S, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,1/27/2025 8:35:03 AM,BP25000382,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,1/27/2025 1:48:03 PM,BP25000387,"40XXX -499 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,1/27/2025 3:31:02 PM,BP25000389,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/27/2025 5:27:47 PM,BP25000391,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/27/2025 5:51:59 PM,BP25000393,"XXX 4th St N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,1/27/2025 5:59:58 PM,BP25000392,"90XXX -999 Highway 95 N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,1/27/2025 9:20:54 PM,BP25000394,"Saint Croix River - Mnr7, BAYPORT",WATER INCIDENT/VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,1/27/2025 10:30:17 PM,BP25000395,"XXX 2ND ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,1/28/2025 8:33:54 AM,BP25000396,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,1/28/2025 8:46:31 AM,BP25000398,"Unknown, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,1/28/2025 11:14:24 AM,BP25000402,"63XXX -699 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,1/28/2025 2:03:49 PM,BP25000403,"20XXX -298 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,1/28/2025 3:41:54 PM,BP25000404,"62XXX -635 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,1/28/2025 4:19:35 PM,BP25000405,"Unknown, BAYPORT",CITIZEN/PUBLIC ASSIST
