AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,3/9/2025 1:24:17 AM,BP25001007,"XXX 2nd St N, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,3/9/2025 4:14:45 AM,BP25001009,"XXX 2nd St N, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,3/9/2025 10:27:56 AM,BP25001012,"XXX 2nd St N, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,3/9/2025 9:47:30 PM,BP25001018,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/10/2025 4:37:22 AM,BP25001022,"XXX 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/10/2025 7:12:05 AM,BP25001024,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/10/2025 8:32:52 AM,BP25001025,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,3/10/2025 10:50:20 AM,BP25001028,"XXX 3rd st n , BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,3/10/2025 12:35:19 PM,BP25001030,"XXX 3rd St N, BAYPORT",FRAUD/SCAM
BAYPORT POLICE DEPARTMENT,BAYPORT,3/10/2025 11:31:37 PM,BP25001037,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/11/2025 8:34:26 AM,BP25001041,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,3/11/2025 12:48:32 PM,BP25001044,"XXX 4TH AVE N, BAYPORT",THEFT
BAYPORT POLICE DEPARTMENT,BAYPORT,3/11/2025 3:51:48 PM,BP25001045,"XXX Lakeside Bay S, BAYPORT",DEATH INVESTIGATION
BAYPORT POLICE DEPARTMENT,BAYPORT,3/12/2025 7:34:57 PM,BP25001069,"50XXX -573 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/12/2025 7:49:53 PM,BP25001070,"40XXX -498 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/12/2025 9:16:14 PM,BP25001071,"30XXX -398 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/13/2025 12:18:21 AM,BP25001073,"XXX 2nd St N, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,3/14/2025 8:30:16 AM,BP25001081,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,3/14/2025 9:33:22 AM,BP25001082,"XXX 3rd St S, BAYPORT",LIFT ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,3/14/2025 9:45:43 AM,BP25001083,"3rd St S / 1st Ave S, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,BAYPORT,3/14/2025 1:31:53 PM,BP25001085,"20XXX -249 4TH AVE S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/15/2025 12:57:38 AM,BP25001095,"HWY 95 AT 10TH AVE N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/15/2025 1:41:34 AM,BP25001096,"HWY 95 AT 2ND AVE N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/15/2025 7:44:33 AM,BP25001098,"XXX Primrose Path, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,3/9/2025 12:12:41 AM,BP25001006,"14XXX  Upper 56th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,3/9/2025 1:40:49 AM,BP25001008,"14XXX  Upper 56th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,3/9/2025 7:37:47 AM,BP25001010,"5XXX  Neal Ave N, OAK PARK HEIGHTS",AOA/TRAFFIC
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,3/9/2025 1:08:13 PM,BP25001014,"14XXX  58th St N, OAK PARK HEIGHTS",AOA/DOMESTIC
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,3/9/2025 8:14:58 PM,BP25001016,"Hwy 36 Eb At Omaha Ave N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,3/10/2025 6:27:45 AM,BP25001023,"13XXX  Lower 59th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,3/14/2025 11:46:03 PM,BP25001092,"57XXX -5502 SAINT CROIX TRL N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,3/15/2025 12:11:03 AM,BP25001093,"14XXX -15249 60TH ST N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,3/13/2025 6:59:40 PM,BP25001080,"1XXX  Parkwood Ln, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,3/15/2025 11:55:06 PM,BP25001104,"XXX Main St S, STILLWATER",ASSIST OTHER AGENCY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,3/9/2025 4:21:02 AM,CG25007625,"9XXX  65th St S, COTTAGE GROVE",WELFARE CHECK
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,3/9/2025 10:09:23 AM,CG25007635,"7XXX  Hidden Valley Cv S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,3/9/2025 12:58:10 PM,CG25007668,"8XXX  Jody Ave S, COTTAGE GROVE",FAMILY ASSIST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,3/9/2025 2:02:34 PM,CG25007673,"7XXX  100th St S, COTTAGE GROVE",DEATH INVESTIGATION
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,3/9/2025 2:17:34 PM,CG25007674,"6XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,3/9/2025 7:39:46 PM,CG25007680,"6XXX  Ideal Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,3/9/2025 8:44:10 PM,CG25007684,"6XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,3/10/2025 9:41:59 AM,CG25007711,"6XXX  Hearthstone Ave S, COTTAGE GROVE",VEHICLE UNLOCK
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,3/10/2025 9:50:41 AM,CG25007714,"8XXX  East Point Douglas Rd S, COTTAGE GROVE",SHOPLIFTING
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,3/10/2025 11:18:35 AM,CG25007726,"12XXX  Ravine Pkwy S, COTTAGE GROVE",FRAUD/SCAM
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,3/10/2025 1:04:14 PM,CG25007734,"10XXX  85th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,3/10/2025 3:03:15 PM,CG25007749,"8XXX  Johansen Ave S, COTTAGE GROVE",MEDICAL
