AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,3/23/2025 3:01:02 AM,BP25001191,"30XXX -399 MINNESOTA ST S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,3/23/2025 6:27:04 PM,BP25001195,"XXX 4TH ST N, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,3/23/2025 6:55:18 PM,BP25001196,"STAGECOACH / 5TH AVE N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/24/2025 3:55:00 PM,BP25001200,"30XXX -399 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/24/2025 4:29:17 PM,BP25001201,"20XXX -299 4TH ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/24/2025 5:20:06 PM,BP25001202,"10XXX -198 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/24/2025 7:10:00 PM,BP25001203,"MINNESOTA ST S / 7TH AVE S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/24/2025 9:35:36 PM,BP25001209,"30XXX -399 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/25/2025 9:46:14 AM,BP25001213,"30XXX -399 MINNESOTA ST S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/25/2025 1:01:20 PM,BP25001217,"10XXX -199 STATE ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/25/2025 1:20:00 PM,BP25001219,"70XXX -972 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/25/2025 1:38:00 PM,BP25001220,"50XXX -598 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/25/2025 2:04:51 PM,BP25001221,"10XXX -198 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/25/2025 2:27:31 PM,BP25001222,"30XXX -399 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/25/2025 5:13:00 PM,BP25001224,"Unknown, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,3/25/2025 8:45:28 PM,BP25001228,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/25/2025 9:28:48 PM,BP25001229,"Minnesota St S / 3rd Ave S, BAYPORT",TRAFFIC STOP (COMM VEH INSP)
BAYPORT POLICE DEPARTMENT,BAYPORT,3/25/2025 9:40:00 PM,BP25001230,"20XXX -299 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/25/2025 9:59:26 PM,BP25001231,"Hwy 95 At 7th Ave N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/25/2025 10:21:31 PM,BP25001232,"HWY 95/ 10th AVE N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/25/2025 11:04:00 PM,BP25001233,"Minnesota St S / 4th Ave S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/26/2025 2:14:25 AM,BP25001239,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/26/2025 10:51:18 AM,BP25001242,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/26/2025 3:06:58 PM,BP25001243,"XXX 3RD ST N, BAYPORT",RIDE ALONG
BAYPORT POLICE DEPARTMENT,BAYPORT,3/26/2025 9:25:58 PM,BP25001245,"XXX 3rd St N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,3/27/2025 12:16:09 AM,BP25001251,"XXX Inspiration Pkwy N, BAYPORT",DWI
BAYPORT POLICE DEPARTMENT,BAYPORT,3/27/2025 11:24:34 AM,BP25001255,"MINNESOTA ST S / 4TH AVE S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/27/2025 11:34:44 AM,BP25001257,"MINNESOTA ST S / 4TH AVE S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/27/2025 11:47:57 AM,BP25001258,"MINNESOTA ST S / 3RD AVE S, BAYPORT",COMMUNITY CONTACT
BAYPORT POLICE DEPARTMENT,BAYPORT,3/27/2025 11:50:08 AM,BP25001259,"MINNESOTA ST S / 4TH AVE S, BAYPORT",TRAFFIC STOP
