AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,7/23/2023 1:21:26 PM,BP23004392,"XXX 3rd St N, BAYPORT",FOUND PROPERTY/ITEM
BAYPORT POLICE DEPARTMENT,BAYPORT,7/23/2023 4:26:35 PM,BP23004395,"XXX 5th Ave S, BAYPORT",FIRE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/23/2023 5:51:41 PM,BP23004397,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/23/2023 7:34:54 PM,BP23004399,"XXX 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/23/2023 8:10:33 PM,BP23004400,"XXX 3rd St N, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/23/2023 10:09:02 PM,BP23004403,"XX Central Ave, BAYPORT",In park after hours
BAYPORT POLICE DEPARTMENT,BAYPORT,7/23/2023 10:17:50 PM,BP23004404,"XX CENTRAL AVE, BAYPORT",Park close
BAYPORT POLICE DEPARTMENT,BAYPORT,7/24/2023 3:04:10 PM,BP23004413,"3rd Ave S / Perro Creek Dr S, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/24/2023 8:53:11 PM,BP23004420,"XXX Lakeside Dr S, BAYPORT",NOISE COMPLAINT/DISTURBANCE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/24/2023 10:27:50 PM,BP23004421,"10XXX -199 MAINE ST N, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,7/25/2023 7:45:55 AM,BP23004425,"Unknown, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/25/2023 8:40:45 PM,BP23004443,"Saint Croix River-bp, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/25/2023 10:38:16 PM,BP23004446,"Minnesota St S / 3rd Ave S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,7/25/2023 11:09:41 PM,BP23004447,"70XXX -973 MINNESOTA ST S, BAYPORT","CITED - Speed, V/W Expired registration"
BAYPORT POLICE DEPARTMENT,BAYPORT,7/25/2023 11:37:51 PM,BP23004451,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,7/26/2023 7:46:37 AM,BP23004456,"XXX Oakwood St S, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,BAYPORT,7/26/2023 6:23:57 PM,BP23004462,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/26/2023 7:58:14 PM,BP23004470,"XXX INSPIRATION PKWY N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,7/26/2023 8:03:33 PM,BP23004471,"XXX INSPIRATION PKWY S, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,7/26/2023 8:30:26 PM,BP23004472,"XXX 3rd St N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/26/2023 8:43:45 PM,BP23004473,"20XXX -298 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/27/2023 3:06:44 PM,BP23004481,"XXX 3rd St S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/27/2023 5:38:57 PM,BP23004483,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/27/2023 5:47:22 PM,BP23004484,"XXX 2nd Ave S, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,7/27/2023 10:16:25 PM,BP23004494,"XX CENTRAL AVE, BAYPORT",Park close
BAYPORT POLICE DEPARTMENT,BAYPORT,7/27/2023 10:19:43 PM,BP23004495,"XXX 4TH AVE N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/28/2023 11:07:31 AM,BP23004498,"XXX Minnesota St S, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/28/2023 3:42:37 PM,BP23004502,"POINT RD / 10TH AVE N, BAYPORT",ROAD HAZARD
BAYPORT POLICE DEPARTMENT,BAYPORT,7/28/2023 6:21:28 PM,BP23004507,"2-74 2ND AVE S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/28/2023 10:10:32 PM,BP23004512,"XX Central Ave, BAYPORT",Park Close
