AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,9/10/2023 1:26:52 AM,BP23005268,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,9/10/2023 5:05:26 AM,BP23005269,"XXX Highway 95 N, BAYPORT",LIFT ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,9/10/2023 9:56:11 PM,BP23005272,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/10/2023 11:01:09 PM,BP23005274,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/11/2023 1:24:01 AM,BP23005280,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,9/11/2023 1:27:29 AM,BP23005281,"Minnesota St S / 3rd Ave S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,9/12/2023 3:27:41 PM,BP23005298,"XXX 4TH ST N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/12/2023 4:40:40 PM,BP23005299,"XXX 3rd St, BAYPORT",LOCKOUT
BAYPORT POLICE DEPARTMENT,BAYPORT,9/12/2023 8:22:56 PM,BP23005302,"XXX 4th St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/13/2023 2:51:42 PM,BP23005309,"Minnesota St S / Osprey Blvd, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,9/13/2023 4:42:30 PM,BP23005310,"XXX Inspiration Pkwy N, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,9/13/2023 10:36:47 PM,BP23005319,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,9/13/2023 10:52:19 PM,BP23005320,"XX CENTRAL AVE, BAYPORT",Honor Box Payments
BAYPORT POLICE DEPARTMENT,BAYPORT,9/13/2023 11:19:27 PM,BP23005321,"ALLEY, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,9/14/2023 4:46:18 AM,BP23005328,"75XXX -998 Highway 95 N, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,9/14/2023 10:47:13 AM,BP23005331,"XXX Pickett St N, BAYPORT",PROTEST
BAYPORT POLICE DEPARTMENT,BAYPORT,9/14/2023 3:51:12 PM,BP23005332,"XXX Highway 95, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/14/2023 5:56:56 PM,BP23005333,"XXX Highway 95, BAYPORT",COMMUNITY ENGAGEMENT - K9 DEMO
BAYPORT POLICE DEPARTMENT,BAYPORT,9/14/2023 11:42:24 PM,BP23005340,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,9/14/2023 11:47:45 PM,BP23005341,"30XXX -398 3RD ST S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,9/16/2023 2:03:14 AM,BP23005351,"XXX Pickett St N, BAYPORT",FUGITIVE FROM JUSTICE
BAYPORT POLICE DEPARTMENT,BAYPORT,9/16/2023 10:31:31 AM,BP23005354,"XXX 5th ave n, BAYPORT",GUN PERMIT
