AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,10/13/2024 11:09:58 AM,BP24005491,"XXX 3rd St N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,10/13/2024 1:53:07 PM,BP24005492,"30XXX -398 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,10/13/2024 2:08:06 PM,BP24005493,"30XXX -399 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,10/13/2024 9:38:47 PM,BP24005495,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,10/14/2024 9:00:08 AM,BP24005502,"XXX 3rd St N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,10/14/2024 9:01:41 AM,BP24005501,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,10/14/2024 11:11:23 AM,BP24005504,"XXX Prairie Way N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,10/14/2024 11:15:02 AM,BP24005505,"Unknown, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,10/14/2024 12:48:00 PM,BP24005506,"3rd St N / Central Ave, BAYPORT",CITE - FAIL TO MAINTAIN LANE
BAYPORT POLICE DEPARTMENT,BAYPORT,10/14/2024 3:27:48 PM,BP24005509,"XXX 4th St N, BAYPORT",JUVENILE COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,10/14/2024 6:02:54 PM,BP24005510,"XXX 6th St N, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,10/14/2024 11:53:21 PM,BP24005515,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,10/15/2024 12:15:34 AM,BP24005516,"MINNESOTA ST S / 3RD AVE S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,10/15/2024 12:22:28 AM,BP24005517,"MINNESOTA ST S / 1st Ave S, BAYPORT",CITED - Speed
BAYPORT POLICE DEPARTMENT,BAYPORT,10/15/2024 8:15:56 AM,BP24005524,"XXX 3rd St N, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,10/15/2024 3:22:38 PM,BP24005527,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,10/15/2024 6:18:36 PM,BP24005529,"XXX Maine St N, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,10/15/2024 11:03:34 PM,BP24005535,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,10/15/2024 11:06:44 PM,BP24005536,"MINNESOTA ST S / 3RD AVE S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,10/15/2024 11:27:07 PM,BP24005537,"Hwy 95 / 10th Ave N, BAYPORT",V/W - Fail to stop for STOP sign
BAYPORT POLICE DEPARTMENT,BAYPORT,10/17/2024 10:39:33 AM,BP24005553,"XXX Prairie Way S, BAYPORT",ABANDONED VEHICLE
BAYPORT POLICE DEPARTMENT,BAYPORT,10/17/2024 3:44:13 PM,BP24005554,"XXX 4th St S, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,10/17/2024 7:57:15 PM,BP24005555,"XXX 4th Ave N, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,10/17/2024 9:14:49 PM,BP24005556,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,10/18/2024 8:12:00 AM,BP24005565,"1XXX  5th Ave N, BAYPORT",WARRANT ARREST
