AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,11/3/2024 8:55:15 AM,BP24005823,"XXX Maine St N, BAYPORT",GAS LEAK
BAYPORT POLICE DEPARTMENT,BAYPORT,11/3/2024 12:21:58 PM,BP24005824,"XXX 3rd St N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,11/3/2024 8:03:34 PM,BP24005826,"XXX 1st Ave N, BAYPORT",FOUND PROPERTY/ITEM
BAYPORT POLICE DEPARTMENT,BAYPORT,11/3/2024 8:53:27 PM,BP24005827,"XXX 3rd St N, BAYPORT",GAS DRIVE OFF
BAYPORT POLICE DEPARTMENT,BAYPORT,11/4/2024 8:32:17 AM,BP24005833,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/4/2024 10:06:56 AM,BP24005837,"XXX 3RD ST N, BAYPORT",FOUND PROPERTY/ITEM
BAYPORT POLICE DEPARTMENT,BAYPORT,11/4/2024 12:21:15 PM,BP24005838,"XXX 3RD ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/4/2024 12:34:18 PM,BP24005839,"XXX 6TH ST S, BAYPORT",ORDINANCE VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,11/4/2024 12:52:07 PM,BP24005840,"XXX 5TH ST N, BAYPORT",ORDINANCE VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,11/4/2024 12:56:37 PM,BP24005841,"XXX 5TH ST N, BAYPORT",PROPERTY DAMAGE
BAYPORT POLICE DEPARTMENT,BAYPORT,11/4/2024 4:34:33 PM,BP24005844,"MINNESOTA ST S / 5TH AVE S, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/5/2024 5:35:57 AM,BP24005845,"XXX 5th Ave N, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,11/5/2024 8:31:27 AM,BP24005846,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/5/2024 8:57:58 AM,BP24005850,"XXX 3rd St S, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/5/2024 10:53:57 AM,BP24005851,"XXX 4TH ST N, BAYPORT",FOUND PROPERTY/ITEM
BAYPORT POLICE DEPARTMENT,BAYPORT,11/5/2024 12:40:55 PM,BP24005852,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/5/2024 1:02:53 PM,BP24005853,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/5/2024 3:31:38 PM,BP24005854,"XXX Highway 95 N, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,11/5/2024 8:55:10 PM,BP24005857,"XXX 3RD ST N, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,11/6/2024 3:51:43 AM,BP24005860,"70XXX -972 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/6/2024 11:25:58 AM,BP24005863,"65XXX -698 3RD ST N, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,11/6/2024 3:25:37 PM,BP24005866,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,11/6/2024 7:33:56 PM,BP24005868,"XXX 3rd St N, BAYPORT",ASSAULT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/6/2024 8:18:36 PM,BP24005869,"XXX 3rd St N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/6/2024 10:09:13 PM,BP24005876,"1st Ave N / 2nd St N, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/7/2024 5:21:14 AM,BP24005878,"XXX Maine St N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/7/2024 8:59:43 AM,BP24005881,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,11/7/2024 9:18:42 AM,BP24005882,"Unknown, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/7/2024 12:25:56 PM,BP24005883,"10XXX -198 5TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/7/2024 1:55:17 PM,BP24005884,"Unknown, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,11/7/2024 2:26:00 PM,BP24005885,"20XXX -299 5TH AVE N, BAYPORT",CITE - PARKING WHERE SIGNS PROHIBIT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/7/2024 2:28:00 PM,BP24005886,"20XXX -299 5TH AVE N, BAYPORT",CITE - PARKING WHERE SIGNS PROHIBIT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/7/2024 7:33:14 PM,BP24005889,"XXX 3rd st n, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2024 8:32:10 AM,BP24005892,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2024 9:22:14 AM,BP24005894,"Unknown, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2024 9:40:10 AM,BP24005895,"XXX 5th St N, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2024 1:29:58 PM,BP24005896,"XXX Oakwood St S, BAYPORT",WARRANT ATTEMPT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2024 1:50:04 PM,BP24005897,"50XXX -598 4TH ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2024 5:11:49 PM,BP24005901,"XXX 5th Ave N, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2024 5:39:47 PM,BP24005902,"Minnesota St S / Osprey Blvd, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2024 5:44:42 PM,BP24005903,"XXX 3rd St N, BAYPORT",FOUND PROPERTY/ITEM
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2024 7:38:33 PM,BP24005904,"XXX 4TH ST N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2024 10:25:25 PM,BP24005906,"XX POINT RD, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2024 11:15:53 PM,BP24005908,"Highway 95 N / 10th Ave N, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/8/2024 11:24:17 PM,BP24005909,"Highway 95 N / 7th Ave N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/9/2024 12:12:55 PM,BP24005913,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/9/2024 2:00:29 PM,BP24005918,"XXX 6th St N, BAYPORT",COMMUNITY CONTACT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/9/2024 2:04:21 PM,BP24005919,"XXX block 5th Ave N, BAYPORT",ORDINANCE VIOLATION
BAYPORT POLICE DEPARTMENT,BAYTOWN TOWNSHIP,11/5/2024 10:05:24 PM,BP24005858,"4XXX  STAGECOACH TRL N, BAYTOWN TOWNSHIP",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYTOWN TOWNSHIP,11/8/2024 5:02:35 PM,BP24005900,"15XXX -15198 47TH ST N, BAYTOWN TOWNSHIP",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,LAKELAND,11/6/2024 12:24:44 PM,BP24005864,"I94 Eb Jeo I94 Hudson Bridge, LAKELAND",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,11/3/2024 1:37:59 AM,BP24005821,"Saint Croix Crossing Bridge: Hwy 36 Wb - Mn, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,11/3/2024 3:04:21 AM,BP24005822,"Highway 36 / GREELEY ST S, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,11/6/2024 12:59:50 PM,BP24005865,"Hwy 36 Eb At Osgood Ave N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,11/6/2024 8:31:55 PM,BP24005870,"SAINT CROIX TRL N, OAK PARK HEIGHTS",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,11/6/2024 8:37:40 PM,BP24005875,"Saint Croix Crossing Bridge: Hwy 36 Eb - Mn, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,11/7/2024 6:28:48 AM,BP24005879,"XX Saint Croix Crossing Bridge: Hwy 36 Eb - Mn, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,11/7/2024 2:27:31 PM,BP24005887,"Osgood Ave N / Orleans St W, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,11/8/2024 10:09:39 PM,BP24005905,"14XXX  58th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,11/9/2024 9:32:29 AM,BP24005912,"14XXX  58th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,11/9/2024 12:48:11 PM,BP24005914,"14XXX  58th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,11/9/2024 1:14:48 PM,BP24005916,"14XXX  58th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,11/3/2024 1:49:02 AM,BP24005820,"XXX Main St S, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,11/9/2024 1:12:16 PM,BP24005915,"XXX Main St S, STILLWATER",ANIMAL COMPLAINT
