AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,9/4/2022 2:13:08 AM,BP22006161,"40XXX -498 MINNESOTA ST S, BAYPORT",V/W IMPROPER PASS
BAYPORT POLICE DEPARTMENT,BAYPORT,9/4/2022 2:33:11 AM,BP22006162,"HWY 95 JNO 7TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/4/2022 3:06:55 PM,BP22006168,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/4/2022 10:36:56 PM,BP22006175,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,9/4/2022 11:43:50 PM,BP22006176,"XXX 2nd St N, BAYPORT",DISTURBANCE
BAYPORT POLICE DEPARTMENT,BAYPORT,9/5/2022 5:59:23 AM,BP22006181,"Inspiration Pkwy N / Prairie Way N, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,9/5/2022 11:25:25 AM,BP22006182,"XXX 5th St S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/5/2022 1:23:20 PM,BP22006183,"XXX 5th Ave N, BAYPORT",NEIGHBOR DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,9/5/2022 4:59:34 PM,BP22006184,"LAKESIDE DR S, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,9/5/2022 10:27:36 PM,BP22006189,"XX CENTRAL AVE, BAYPORT",Park close
BAYPORT POLICE DEPARTMENT,BAYPORT,9/5/2022 10:38:45 PM,BP22006190,"3RD ST N / 3RD AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/5/2022 10:57:34 PM,BP22006191,"MINNESOTA ST S / 2ND AVE S, BAYPORT",DWI
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 7:24:22 AM,BP22006193,"XXX 4TH ST N, BAYPORT",School Crossing
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 9:29:02 AM,BP22006194,"Unknown, BAYPORT",OTHER
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 10:46:37 AM,BP22006198,"MINNESOTA ST S / 3RD AVE S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 11:06:15 AM,BP22006199,"50XXX -598 MINNESOTA ST S, BAYPORT",V/W - Speed
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 11:22:30 AM,BP22006201,"INSPIRATION PKWY / PRIMROSE PATH, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 12:09:35 PM,BP22006203,"MINNESOTA ST S / 5TH AVE S, BAYPORT",OTHER
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 12:23:34 PM,BP22006204,"XXX 2nd Ave S, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 1:18:38 PM,BP22006205,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 2:01:09 PM,BP22006206,"70XXX -799 5TH AVE N, BAYPORT",V/W - Speed
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 2:09:02 PM,BP22006207,"8TH ST N / 5TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 2:43:25 PM,BP22006208,"4th Ave N / 5th Ave N Alley, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 3:20:27 PM,BP22006209,"XXX 4TH ST N, BAYPORT",School Crossing
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 3:26:44 PM,BP22006210,"4TH ST N / 1ST AVE N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 6:02:07 PM,BP22006211,"XXX 3RD ST N, BAYPORT",OFFICER INFORMATION
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 6:02:16 PM,BP22006212,"XXX 3RD ST N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 9:00:35 PM,BP22006213,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 9:28:00 PM,BP22006217,"3RD ST N / 3RD AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 10:03:43 PM,BP22006218,"20XXX -298 3RD ST N, BAYPORT",VW following too closely
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 10:52:25 PM,BP22006219,"10XXX -198 3RD ST N, BAYPORT",Cite - speed
BAYPORT POLICE DEPARTMENT,BAYPORT,9/6/2022 11:48:11 PM,BP22006222,"XXX 4TH ST N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/7/2022 5:26:13 AM,BP22006223,"XXX 3rd St S, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,9/7/2022 9:12:43 AM,BP22006228,"XXX 9th St N, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,9/7/2022 9:36:36 AM,BP22006229,"XXX 9th St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/7/2022 11:47:03 AM,BP22006230,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/7/2022 3:04:03 PM,BP22006231,"XXX 3rd St S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/7/2022 3:28:34 PM,BP22006232,"XXX 3rd Ave N, BAYPORT",DEATH
BAYPORT POLICE DEPARTMENT,BAYPORT,9/7/2022 5:36:45 PM,BP22006233,"XXX 9th St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/7/2022 9:01:42 PM,BP22006238,"12XXX -198 3RD ST S, BAYPORT",V/W NO LIGHTS
BAYPORT POLICE DEPARTMENT,BAYPORT,9/7/2022 9:14:19 PM,BP22006239,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,9/8/2022 2:14:37 AM,BP22006244,"XXX Highway 95, BAYPORT",ABANDONED VEHICLE
BAYPORT POLICE DEPARTMENT,BAYPORT,9/8/2022 7:44:29 AM,BP22006248,"30XXX -599 9TH ST N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/8/2022 8:24:35 AM,BP22006250,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,9/8/2022 10:30:44 AM,BP22006253,"50XXX -598 MINNESOTA ST S, BAYPORT",CITE - USE OF COMM DEVICE
BAYPORT POLICE DEPARTMENT,BAYPORT,9/8/2022 10:50:16 AM,BP22006254,"5TH AVE S, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,9/8/2022 11:04:04 AM,BP22006255,"60XXX -620 MINNESOTA ST S, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,9/8/2022 2:53:28 PM,BP22006256,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,9/8/2022 5:34:04 PM,BP22006261,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/9/2022 6:31:59 PM,BP22006263,"XXX 4th Ave N, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,9/9/2022 9:12:56 PM,BP22006264,"XXX PERIWINKLE PL, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,9/9/2022 9:38:41 PM,BP22006267,"XXX 4TH ST N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/9/2022 10:26:47 PM,BP22006270,"3RD ST N / 4TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/9/2022 10:34:25 PM,BP22006271,"60XXX -699 5TH ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,9/9/2022 10:54:57 PM,BP22006273,"MINNESOTA ST S / 3RD AVE S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/9/2022 11:09:47 PM,BP22006276,"Inspiration Parkway S / Inspiration Place, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/9/2022 11:21:44 PM,BP22006277,"10XXX -198 3RD ST N, BAYPORT",TRAFFIC STOP
