AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,11/19/2023 2:17:03 PM,BP23006305,"XXX 9th St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/19/2023 6:41:10 PM,BP23006307,"Unknown, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/19/2023 9:12:43 PM,BP23006308,"XXX 3rd St N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/19/2023 9:59:58 PM,BP23006309,"Central Ave / 3rd St N, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,11/20/2023 3:36:51 AM,BP23006315,"Minnesota St S / 3rd Ave S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,11/20/2023 11:54:59 AM,BP23006318,"XXX 4TH AVE N, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,11/20/2023 2:29:34 PM,BP23006319,"5TH AVE N / 5TH ST N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/20/2023 3:26:23 PM,BP23006321,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/20/2023 7:24:48 PM,BP23006322,"50XXX -598 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/21/2023 12:58:09 AM,BP23006327,"3rd St N / 1st Ave N, BAYPORT",PUBLIC WORKS CONCERN
BAYPORT POLICE DEPARTMENT,BAYPORT,11/21/2023 3:04:29 PM,BP23006332,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/21/2023 3:08:58 PM,BP23006333,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,11/21/2023 3:28:17 PM,BP23006335,"5th Ave N / 8th St N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/21/2023 8:45:44 PM,BP23006341,"XXX MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/21/2023 8:55:33 PM,BP23006342,"70XXX -972 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/22/2023 10:35:37 AM,BP23006348,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,11/22/2023 11:13:38 AM,BP23006349,"XXX Pickett St N, BAYPORT",VEHICLE UNLOCK
BAYPORT POLICE DEPARTMENT,BAYPORT,11/22/2023 8:31:58 PM,BP23006365,"Minnesota St S / 3rd Ave S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,11/23/2023 3:37:02 AM,BP23006369,"XXX 3RD ST N, BAYPORT",ARREST - DWI 3rd Degree
BAYPORT POLICE DEPARTMENT,BAYPORT,11/23/2023 6:38:59 AM,BP23006372,"XXX 5th St S, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,11/23/2023 9:51:14 AM,BP23006377,"20XXX -298 PERIWINKLE PL, BAYPORT",COMMUNITY EVENT - K9 PRESENTATION
BAYPORT POLICE DEPARTMENT,BAYPORT,11/25/2023 7:42:48 PM,BP23006411,"XXX 5th St S, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,11/25/2023 9:42:55 PM,BP23006414,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,GRANT,11/25/2023 12:27:35 PM,BP23006407,"11XXX  Julianne Ave N, GRANT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,11/23/2023 6:08:04 AM,BP23006371,"XXX 5TH ST S, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,11/23/2023 6:54:28 PM,BP23006381,"XXX Pine St W, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,WEST LAKELAND TOWNSHIP,11/22/2023 7:13:00 AM,BP23006346,"14XXX  Interstate 94, WEST LAKELAND TOWNSHIP",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,WEST LAKELAND TOWNSHIP,11/22/2023 12:00:44 PM,BP23006352,"STAGECOACH TRL N / 15TH ST N, WEST LAKELAND TOWNSHIP",DRIVING COMPLAINT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/19/2023 12:19:32 AM,CG23039341,"Highway 61, COTTAGE GROVE",ASSIST OTHER AGENCY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/19/2023 12:34:12 AM,CG23039344,"70XXX -7295 80TH ST S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/19/2023 6:02:57 AM,CG23039353,"8XXX  80th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/19/2023 10:24:32 AM,CG23039371,"80th St S / Hemingway Ave S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/19/2023 12:56:16 PM,CG23039383,"8XXX  Hadley Ave S, COTTAGE GROVE",ACCIDENT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/19/2023 1:30:44 PM,CG23039384,"8XXX  80th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/19/2023 1:37:24 PM,CG23039385,"8XXX  East Point Douglas Rd S, COTTAGE GROVE",ASSIST OTHER AGENCY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/19/2023 2:48:50 PM,CG23039388,"6XXX  80th St S, COTTAGE GROVE",911 ABANDONED/HANGUP/OPEN LINE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/19/2023 3:49:13 PM,CG23039393,"6XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/19/2023 5:59:08 PM,CG23039398,"9XXX  78th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/19/2023 7:39:17 PM,CG23039401,"XX INNOVATION RD TO HWY 61 SB RAMP, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/19/2023 11:35:14 PM,CG23039416,"7XXX  EAST POINT DOUGLAS RD S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/19/2023 11:58:39 PM,CG23039422,"8XXX  GRANGE BLVD S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,11/20/2023 1:49:23 AM,CG23039429,"8XXX  Grospoint Ave S, COTTAGE GROVE",MEDICAL
