AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,5/14/2023 12:00:36 AM,BP23002844,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,5/14/2023 1:34:33 PM,BP23002847,"XXX 4TH ST S, BAYPORT",FAMILY ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,5/14/2023 6:06:11 PM,BP23002855,"XXX 3rd St S, BAYPORT",FAMILY ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,5/15/2023 8:19:14 AM,BP23002864,"3rd st n, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,5/15/2023 8:52:30 AM,BP23002865,"XXX 3rd st n, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,5/15/2023 8:59:18 AM,BP23002866,"XXX 5th ave s, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,5/15/2023 9:26:09 PM,BP23002876,"XXX 5th Ave N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,5/15/2023 9:37:44 PM,BP23002877,"XXX 4th Ave N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,5/16/2023 12:25:09 AM,BP23002882,"Hwy 95 / 10th Ave N, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,5/16/2023 9:48:57 PM,BP23002887,"XXX PICKETT ST N, BAYPORT",FUGITIVE FROM JUSTICE
BAYPORT POLICE DEPARTMENT,BAYPORT,5/17/2023 2:09:49 AM,BP23002888,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,5/17/2023 10:36:21 AM,BP23002895,"XXX 5TH AVE S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,5/17/2023 3:16:18 PM,BP23002900,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,5/17/2023 5:24:56 PM,BP23002904,"56th St N / Stagecoach Trl N, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,5/18/2023 11:17:35 PM,BP23002930,"XXX 3rd St N, BAYPORT",DWI
BAYPORT POLICE DEPARTMENT,BAYPORT,5/19/2023 7:08:40 PM,BP23002945,"XXX 4th Ave N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,5/20/2023 1:45:22 AM,BP23002953,"3rd Ave S / 2nd St S, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,5/20/2023 2:07:06 AM,BP23002954,"5TH ST N / 4TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,5/20/2023 3:41:58 AM,BP23002956,"Hwy 95 / 10th Ave N, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,5/20/2023 8:48:29 PM,BP23002962,"5th Ave N / 9th St N, BAYPORT",CITED - Expired Driver's License; V/W No front plate and improper display of original plate.
BAYPORT POLICE DEPARTMENT,BAYPORT,5/20/2023 9:25:59 PM,BP23002965,"5th St N / 4th Ave N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,STILLWATER,5/14/2023 2:07:43 AM,BP23002845,"XXX Laurel St W, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,5/14/2023 3:21:21 PM,BP23002849,"HWY 36 EB JWO NORELL AVE N, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,5/16/2023 8:21:25 PM,BP23002886,"1XXX  Cottage Dr, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,5/17/2023 8:38:48 AM,BP23002890,"3XXX  Settlers Way, STILLWATER",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,STILLWATER,5/18/2023 10:54:21 PM,BP23002929,"XXX Bridgewater Way, STILLWATER",ASSIST OTHER AGENCY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/14/2023 3:56:14 AM,CG23013983,"8XXX  113th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/14/2023 6:49:45 AM,CG23013986,"7XXX  76th St S, COTTAGE GROVE",ANIMAL COMPLAINT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/14/2023 7:54:19 AM,CG23013996,"8XXX  83rd Street Ct S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/14/2023 10:10:45 AM,CG23014012,"6XXX  80th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/14/2023 1:11:20 PM,CG23014041,"7XXX  73rd St S, COTTAGE GROVE",THEFT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/14/2023 3:48:13 PM,CG23014064,"HINTON AVE S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/14/2023 3:50:28 PM,CG23014065,"80TH ST S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/14/2023 4:19:17 PM,CG23014068,"Jamaica Ave S / 95th St S, COTTAGE GROVE",ACCIDENT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/14/2023 4:19:41 PM,CG23014067,"10XXX -10998 IDEAL AVE S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/14/2023 7:26:42 PM,CG23014078,"8XXX  EAST POINT DOUGLAS RD S, COTTAGE GROVE",911 ABANDONED/HANGUP/OPEN LINE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/15/2023 2:05:54 AM,CG23014097,"8XXX  Grange Blvd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/15/2023 7:21:16 AM,CG23014116,"72XXX -7050 80TH ST S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/15/2023 9:37:47 AM,CG23014133,"8XXX  Ironwood Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/15/2023 10:14:03 AM,CG23014135,"6XXX  Jody Ave S, COTTAGE GROVE",BURGLARY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/15/2023 11:18:23 AM,CG23014146,"8XXX  97th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/15/2023 12:01:48 PM,CG23014150,"12XXX  Ravine Pkwy S, COTTAGE GROVE",CITIZEN/PUBLIC ASSIST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/15/2023 12:26:21 PM,CG23014152,"7XXX  JORDON AVE S, COTTAGE GROVE",FRAUD/SCAM
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/15/2023 12:40:57 PM,CG23014154,"7XXX  80th St S, COTTAGE GROVE",WARRANT ARREST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/15/2023 5:09:25 PM,CG23014184,"80th St S / East Point Douglas Rd S, COTTAGE GROVE",ACCIDENT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/15/2023 8:10:00 PM,CG23014211,"7XXX  East Point Douglas Rd S, COTTAGE GROVE",WARRANT ARREST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/15/2023 9:01:18 PM,CG23014215,"7XXX  Hidden Valley Holw S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 2:16:19 AM,CG23014229,"7XXX  Hearthside Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 2:26:18 AM,CG23014230,"8XXX  77th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 7:08:37 AM,CG23014237,"6XXX  Jeffery Bay S, COTTAGE GROVE",UNWANTED PERSON/VEHICLE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 8:03:24 AM,CG23014239,"12XXX  Ravine Pkwy S, COTTAGE GROVE",FINGERPRINTING
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 10:20:20 AM,CG23014243,"12XXX  Ravine Pkwy S, COTTAGE GROVE",THEFT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 10:25:59 AM,CG23014247,"12XXX  Ravine Pkwy S, COTTAGE GROVE",CITIZEN/PUBLIC ASSIST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 10:36:02 AM,CG23014250,"8XXX  East Point Douglas Rd S, COTTAGE GROVE",SUSPICIOUS PERSON/ACTIVITY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 10:54:05 AM,CG23014252,"12XXX  Ravine Pkwy S, COTTAGE GROVE",CITIZEN/PUBLIC ASSIST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 11:20:00 AM,CG23014254,"12XXX  Ravine Pkwy, COTTAGE GROVE",CITIZEN/PUBLIC ASSIST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 12:49:56 PM,CG23014272,"9XXX  East Point Douglas Rd S, COTTAGE GROVE",THEFT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 12:57:13 PM,CG23014273,"102nd St S / Mississippi Dunes Blvd S, COTTAGE GROVE",TRAFFIC COMPLAINT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 1:48:40 PM,CG23014277,"8XXX  69th St S, COTTAGE GROVE",MISSING PERSON
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 3:38:27 PM,CG23014290,"7XXX  Harkness Ave S, COTTAGE GROVE",911 ABANDONED/HANGUP/OPEN LINE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 3:43:27 PM,CG23014291,"6XXX  80TH ST S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 6:20:17 PM,CG23014314,"9XXX  Jamaica Ave S, COTTAGE GROVE",THEFT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 6:27:07 PM,CG23014316,"73XXX -7509 80TH ST S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 6:32:45 PM,CG23014317,"6XXX  East Point Douglas Rd S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 7:00:58 PM,CG23014325,"7XXX  Hearthside Ave S, COTTAGE GROVE",PROPERTY DAMAGE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/16/2023 11:01:35 PM,CG23014354,"8XXX  Greene Ave S, COTTAGE GROVE",WELFARE CHECK
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 12:27:31 AM,CG23014375,"72XXX -7429 EAST POINT DOUGLAS RD S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 1:13:27 AM,CG23014383,"7XXX  Hearthside Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 11:24:47 AM,CG23014403,"8XXX  East Point Douglas Rd S, COTTAGE GROVE",ANIMAL COMPLAINT
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 11:32:21 AM,CG23014404,"80TH ST S / HARDWOOD AVE S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 1:04:46 PM,CG23014408,"12XXX  Ravine Pkwy S, COTTAGE GROVE",CITIZEN/PUBLIC ASSIST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 1:14:14 PM,CG23014409,"9XXX  East Point Douglas Rd S, COTTAGE GROVE",WARRANT ARREST
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 3:34:59 PM,CG23014421,"Hwy 61 Sb Jno Jamaica Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 4:14:05 PM,CG23014428,"12XXX  Ravine Pkwy S, COTTAGE GROVE",FINGERPRINTING
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 4:58:37 PM,CG23014434,"7XXX  IVERSON CT S, COTTAGE GROVE",911 ABANDONED/HANGUP/OPEN LINE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 5:23:19 PM,CG23014436,"8XXX  Iverson Ct S, COTTAGE GROVE",911 ABANDONED/HANGUP/OPEN LINE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 5:26:10 PM,CG23014437,"8XXX  100th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 6:27:41 PM,CG23014439,"8XXX  JASMINE LN S, COTTAGE GROVE",FOUND PROPERTY/ITEM
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 10:41:18 PM,CG23014454,"96XXX -9638 MISSISSIPPI DUNES BLVD S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 10:45:29 PM,CG23014455,"7XXX  Jeffery Ln S, COTTAGE GROVE",DISTURBANCE
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,5/17/2023 11:02:23 PM,CG23014457,"HWY 61 SB AT JAMAICA AVE S, COTTAGE GROVE",ASSIST OTHER AGENCY
