AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,12/18/2022 11:50:16 AM,BP22008521,"XXX 3RD ST S, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2022 2:55:45 AM,BP22008527,"XXX 3rd St N, BAYPORT",GAS DRIVE OFF
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2022 7:06:29 AM,BP22008528,"XXX 4th Ave N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2022 8:35:06 AM,BP22008533,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2022 9:30:07 AM,BP22008535,"XXX MINNESOTA ST S, BAYPORT",GUN PERMIT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2022 1:10:45 PM,BP22008536,"XXX 3rd St N, BAYPORT",DRUGS
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2022 2:23:40 PM,BP22008537,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2022 3:32:23 PM,BP22008538,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2022 4:17:05 PM,BP22008540,"MINNESOTA ST S / 3RD AVE S, BAYPORT",TRAFFIC STOP (COMM VEH INSP)
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2022 10:28:30 PM,BP22008548,"Stagecoach Trl N / 5th Ave N, BAYPORT",FIRE
BAYPORT POLICE DEPARTMENT,BAYPORT,12/19/2022 11:08:15 PM,BP22008551,"XXX 3RD ST N, BAYPORT",DISTURBANCE
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2022 8:12:50 AM,BP22008557,"XXX 6th St N, BAYPORT",FOUND DOG
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2022 11:24:04 AM,BP22008559,"XXX Highway 95 N, BAYPORT",PARKING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2022 3:12:25 PM,BP22008560,"50XXX -599 4TH ST N, BAYPORT",V/W ILLEGAL TURN
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2022 3:26:43 PM,BP22008561,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2022 3:57:38 PM,BP22008562,"XXX 3rd St N, BAYPORT",PARKING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2022 6:08:26 PM,BP22008565,"3rd St N / 1st Ave N, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2022 8:15:21 PM,BP22008566,"XXX 3RD ST S, BAYPORT",OPEN DOOR/WINDOW
BAYPORT POLICE DEPARTMENT,BAYPORT,12/20/2022 8:25:33 PM,BP22008567,"XXX Highway 95 N, BAYPORT",MEDICAL
