AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,1/19/2025 11:31:36 AM,BP25000271,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/20/2025 9:43:56 AM,BP25000273,"XXX 3rd St N, BAYPORT",OFFICER INFORMATION
BAYPORT POLICE DEPARTMENT,BAYPORT,1/21/2025 12:30:48 AM,BP25000279,"XXX 2ND ST N, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,1/21/2025 12:44:34 AM,BP25000282,"MINNESOTA ST S / 3RD AVE S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,1/21/2025 12:16:12 PM,BP25000284,"XXX 4th Ave N, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,BAYPORT,1/21/2025 8:02:10 PM,BP25000286,"MINNESOTA ST S / 3RD AVE S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2025 2:41:08 AM,BP25000291,"XXX PICKETT ST N, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2025 7:19:15 AM,BP25000293,"XXX Highway 95, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2025 11:55:40 AM,BP25000301,"XXX Prairie Way S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2025 11:59:49 AM,BP25000302,"XXX 4th Ave N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2025 3:11:51 PM,BP25000304,"XXX 4th St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2025 5:45:30 PM,BP25000308,"40XXX -498 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,1/22/2025 9:07:52 PM,BP25000310,"80XXX -899 Highway 95 N, BAYPORT",V/W NO LIGHTS
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2025 8:38:39 AM,BP25000319,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2025 11:39:42 AM,BP25000324,"XXX 3RD ST N, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2025 12:26:20 PM,BP25000325,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2025 3:31:43 PM,BP25000327,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2025 9:45:06 PM,BP25000342,"XXX 2ND ST N, BAYPORT",PARK CLOSED
BAYPORT POLICE DEPARTMENT,BAYPORT,1/23/2025 11:15:00 PM,BP25000349,"20XXX -299 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2025 7:51:40 PM,BP25000355,"20XXX -298 3RD ST N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2025 8:24:34 PM,BP25000357,"MINNESOTA ST S / 4TH AVE S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,1/24/2025 9:59:53 PM,BP25000361,"20XXX -299 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,1/25/2025 10:05:28 PM,BP25000372,"XXX 2ND ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
