AgencyName1,Address_City_Description1,CreatedOn,CaseNumber,address_streetAddress,Description
BAYPORT POLICE DEPARTMENT,BAYPORT,9/24/2023 3:16:36 AM,BP23005458,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,9/24/2023 1:59:59 PM,BP23005460,"XXX Maine St N, BAYPORT",MISSING PERSON
BAYPORT POLICE DEPARTMENT,BAYPORT,9/24/2023 4:02:59 PM,BP23005463,"Unknown, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,9/25/2023 2:37:55 AM,BP23005466,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,9/25/2023 2:48:37 AM,BP23005467,"20XXX -298 3RD ST S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,9/25/2023 8:21:37 AM,BP23005468,"INSPIRATION PKWY / PRIMROSE PATH, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,9/25/2023 8:37:09 AM,BP23005469,"XXX 4th st n, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,9/25/2023 10:10:10 AM,BP23005470,"XXX prairie way s, BAYPORT",BURNING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,9/25/2023 10:11:01 AM,BP23005471,"3rd St S / 4th Ave S, BAYPORT",CITY ORDINANCE COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,9/25/2023 10:27:12 AM,BP23005472,"XXX Maine St S, BAYPORT",DRUGS
BAYPORT POLICE DEPARTMENT,BAYPORT,9/25/2023 10:38:20 AM,BP23005473,"3rd st n / 5th ave n, BAYPORT",W/W EXPIRED REG
BAYPORT POLICE DEPARTMENT,BAYPORT,9/25/2023 12:17:38 PM,BP23005474,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/25/2023 11:24:07 PM,BP23005483,"63XXX -699 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,9/26/2023 6:13:19 AM,BP23005485,"XXX 4TH AVE N, BAYPORT",RUNAWAY
BAYPORT POLICE DEPARTMENT,BAYPORT,9/26/2023 11:29:50 AM,BP23005486,"XXX Highway 95, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,9/26/2023 5:28:56 PM,BP23005489,"3rd St N / 4th Ave N, BAYPORT",CITE - NO PROOF OF INS
BAYPORT POLICE DEPARTMENT,BAYPORT,9/26/2023 9:10:56 PM,BP23005490,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/26/2023 11:52:27 PM,BP23005494,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/27/2023 7:14:57 PM,BP23005501,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/27/2023 8:24:03 PM,BP23005504,"70XXX -972 MINNESOTA ST S, BAYPORT",V/W - Following too closely
BAYPORT POLICE DEPARTMENT,BAYPORT,9/27/2023 10:52:00 PM,BP23005508,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/27/2023 11:27:58 PM,BP23005509,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,9/28/2023 3:15:00 AM,BP23005511,"Minnesota St S / 3rd Ave S, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,9/28/2023 7:37:25 PM,BP23005518,"4TH AVE N / 5TH ST N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,9/28/2023 10:25:33 PM,BP23005525,"XXX 4th Ave N, BAYPORT",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2023 3:05:43 AM,BP23005526,"2nd Ave S / Lakeside Dr S, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2023 5:35:49 AM,BP23005527,"XXX 4th Ave N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2023 9:15:46 AM,BP23005528,"Unknown, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2023 10:28:37 AM,BP23005529,"Unknown, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2023 10:55:54 AM,BP23005530,"XXX 2nd Ave N, BAYPORT",THEFT
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2023 1:04:20 PM,BP23005531,"Minnesota St S / Osprey Blvd, BAYPORT",ARREST - GM NO INS/DAS/WRONG PLATE
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2023 2:33:39 PM,BP23005532,"Unknown, BAYPORT",OFFICER INFORMATION
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2023 8:13:33 PM,BP23005535,"XXX 3rd St N, BAYPORT",SUICIDE ATTEMPT/THREATS OF
BAYPORT POLICE DEPARTMENT,BAYPORT,9/30/2023 8:06:51 AM,BP23005545,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/30/2023 9:58:49 AM,BP23005546,"XXX lakeside dr s, BAYPORT",NOISE COMPLAINT/DISTURBANCE
BAYPORT POLICE DEPARTMENT,BAYPORT,9/30/2023 10:22:45 AM,BP23005549,"XXX 3rd st n, BAYPORT",VACATION CHECKS
BAYPORT POLICE DEPARTMENT,BAYPORT,9/30/2023 11:36:03 AM,BP23005554,"XX Point Rd, BAYPORT",DEATH
BAYPORT POLICE DEPARTMENT,BAYPORT,9/30/2023 2:22:03 PM,BP23005555,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/30/2023 6:07:16 PM,BP23005556,"XX POINT RD, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/30/2023 6:13:16 PM,BP23005557,"XXX 3rd St S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/30/2023 7:02:27 PM,BP23005558,"XXX 5th Ave S, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,9/30/2023 7:20:57 PM,BP23005559,"XX Point Rd, BAYPORT",PARKING COMPLAINT
BAYPORT POLICE DEPARTMENT,LAKELAND,9/24/2023 9:51:07 PM,BP23005465,"1XXX  RIVERCREST RD N, LAKELAND",OTHER
BAYPORT POLICE DEPARTMENT,STILLWATER,9/30/2023 2:03:28 AM,BP23005542,"XXX Main St S, STILLWATER",ASSIST OTHER AGENCY
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,9/24/2023 12:27:21 AM,CG23033608,"6XXX  80th St S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,9/24/2023 3:47:00 AM,CG23033610,"Hwy 61 Nb Jso 70th St S, COTTAGE GROVE",TRAFFIC STOP
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,9/24/2023 4:46:48 AM,CG23033611,"7XXX  Hemingway Ave S, COTTAGE GROVE",WELFARE CHECK
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,9/24/2023 5:01:16 AM,CG23033612,"7XXX  Hemingway Ave S, COTTAGE GROVE",MEDICAL
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,9/24/2023 6:55:34 AM,CG23033615,"9XXX  Heath Ave S, COTTAGE GROVE",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
COTTAGE GROVE POLICE DEPARTMENT,COTTAGE GROVE,9/24/2023 10:08:20 AM,CG23033620,"83XXX -8498 GLENBROOK AVE S, COTTAGE GROVE",PARKING VIOLATION
