AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,7/13/2025 12:00:44 AM,BP25002930,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,7/13/2025 9:22:05 PM,BP25002938,"XXX Oakwood St S, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/14/2025 12:35:39 AM,BP25002939,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/14/2025 1:13:22 AM,BP25002940,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/14/2025 11:47:55 AM,BP25002942,"XXX 4th St N, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,7/14/2025 12:57:00 PM,BP25002944,"XXX 2nd St N, BAYPORT",WARRANT ARREST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/14/2025 5:43:24 PM,BP25002945,"3rd Ave S / Minnesota St S, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,7/14/2025 6:21:18 PM,BP25002946,"XXX 3RD ST N, BAYPORT",FOUND PROPERTY/ITEM
BAYPORT POLICE DEPARTMENT,BAYPORT,7/15/2025 4:57:18 AM,BP25002947,"XXX 8th St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/15/2025 5:54:30 AM,BP25002948,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/15/2025 9:50:35 AM,BP25002949,"XXX Pickett St N, BAYPORT",ALARM-BUSINESS/RES/FIRE/MEDICAL/ETC
BAYPORT POLICE DEPARTMENT,BAYPORT,7/15/2025 12:28:03 PM,BP25002950,"XX CENTRAL AVE, BAYPORT",K9 DEMO
BAYPORT POLICE DEPARTMENT,BAYPORT,7/15/2025 2:24:34 PM,BP25002951,"XXX 2ND AVE N, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/15/2025 4:13:08 PM,BP25002952,"1XXX  5th Ave N, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,7/15/2025 5:18:07 PM,BP25002953,"XX Point Rd, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/15/2025 11:08:56 PM,BP25002955,"XXX 3rd St N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/15/2025 11:57:05 PM,BP25002956,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2025 10:13:46 AM,BP25002961,"XXX 3rd St N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2025 7:10:13 PM,BP25002965,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2025 7:48:05 PM,BP25002966,"XX Point Rd, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/16/2025 10:33:32 PM,BP25002968,"XX CENTRAL AVE, BAYPORT",Park Close
BAYPORT POLICE DEPARTMENT,BAYPORT,7/17/2025 11:07:48 AM,BP25002972,"XXX Inspiration Pl, BAYPORT",CIVIL MATTER/DISPUTE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/17/2025 1:46:49 PM,BP25002973,"XXX 4th Ave N, BAYPORT",ACCIDENT REPORT
BAYPORT POLICE DEPARTMENT,BAYPORT,7/17/2025 8:48:16 PM,BP25002975,"XX Lakeside Park Boat Landing, BAYPORT",DRIVING COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,7/17/2025 9:21:27 PM,BP25002976,"XX Central Ave, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/18/2025 11:02:15 AM,BP25002981,"XX Central Ave, BAYPORT",PUBLIC WORKS CONCERN
BAYPORT POLICE DEPARTMENT,BAYPORT,7/18/2025 12:03:52 PM,BP25002982,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/18/2025 2:03:14 PM,BP25002983,"XXX 2nd Ave S, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/18/2025 2:33:01 PM,BP25002984,"XXX - 598 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/18/2025 2:47:38 PM,BP25002985,"XXX - 598 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/18/2025 5:37:10 PM,BP25002986,"XXX - 498 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/18/2025 8:23:01 PM,BP25002988,"XXX Minnesota St S, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,BAYPORT,7/18/2025 10:24:24 PM,BP25002989,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,7/19/2025 9:15:38 AM,BP25002995,"XXX - 109 CENTRAL AVE, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/19/2025 12:11:33 PM,BP25002997,"XXX - 398 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/19/2025 12:51:44 PM,BP25002998,"XXX - 999 Highway 95 N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/19/2025 1:16:02 PM,BP25002999,"XXX - 348 1ST AVE S, BAYPORT",TRAFFIC COMPLAINT
BAYPORT POLICE DEPARTMENT,LAKELAND SHORES,7/16/2025 8:31:46 PM,BP25002967,"Saint Croix Trl N / Division St, LAKELAND SHORES",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,7/13/2025 2:04:06 AM,BP25002933,"Highway 95 TO HWY 36 WB RAMP, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,7/13/2025 4:54:24 AM,BP25002935,"12XXX  58TH ST N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,7/14/2025 3:22:47 AM,BP25002941,"14XXX  55th St N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,7/14/2025 12:19:23 PM,BP25002943,"Osgood Ave N / Highway 36, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,7/15/2025 6:25:50 PM,BP25002954,"5XXX  Ozark Ave N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,7/16/2025 5:23:30 PM,BP25002964,"5XXX  Osgood Ave N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,OAK PARK HEIGHTS,7/18/2025 1:14:03 AM,BP25002978,"5XXX  Oren Ave N, OAK PARK HEIGHTS",ASSIST OTHER AGENCY
