AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,5/26/2024 6:02:30 AM,BP24002878,"XXX 6th St N, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,BAYPORT,5/26/2024 9:34:21 AM,BP24002879,"XXX 4th Ave N, BAYPORT",SUICIDE ATTEMPT/THREATS OF
BAYPORT POLICE DEPARTMENT,BAYPORT,5/26/2024 2:11:36 PM,BP24002881,"20XXX -298 3RD ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,5/26/2024 3:08:07 PM,BP24002882,"XXX 3rd St N, BAYPORT",THEFT
BAYPORT POLICE DEPARTMENT,BAYPORT,5/26/2024 4:18:43 PM,BP24002884,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,5/26/2024 7:31:30 PM,BP24002885,"62XXX -635 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,5/26/2024 7:43:22 PM,BP24002886,"POINT RD / 10TH AVE N, BAYPORT",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,5/26/2024 11:19:02 PM,BP24002888,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,Bayport,5/27/2024 12:38:53 AM,BP24002892,"XXX 3RD ST N, Bayport",DIRECTED PATROL
BAYPORT POLICE DEPARTMENT,BAYPORT,5/27/2024 6:20:30 AM,BP24002896,"20XXX -299 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,5/27/2024 6:54:29 AM,BP24002898,"XXX MAINE ST N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,5/27/2024 7:05:33 AM,BP24002899,"33XXX -350 5TH AVE N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,5/27/2024 8:01:39 AM,BP24002900,"XXX Maine St N, BAYPORT",PARKING VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,5/27/2024 8:04:59 AM,BP24002901,"XXX 3rd St N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,5/27/2024 1:02:40 PM,BP24002902,"XXX 2nd Ave N, BAYPORT",UNWANTED PERSON/VEHICLE
