AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,BAYPORT,3/16/2025 12:44:28 AM,BP25001106,"XXX MINNESOTA ST S, BAYPORT",OPEN DOOR/WINDOW
BAYPORT POLICE DEPARTMENT,BAYPORT,3/16/2025 3:07:35 AM,BP25001112,"XXX Highway 95 N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/19/2025 1:39:22 AM,BP25001125,"XX Point Rd, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/19/2025 7:54:22 AM,BP25001126,"XXX 4th Ave N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,3/19/2025 7:54:52 AM,BP25001127,"XXX 4th Ave N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/19/2025 8:30:34 AM,BP25001128,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,3/19/2025 10:37:16 AM,BP25001129,"XXX 3RD ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,3/19/2025 11:23:35 AM,BP25001130,"XXX 9th St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/19/2025 4:26:28 PM,BP25001135,"20XXX -299 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/19/2025 5:02:29 PM,BP25001136,"XXX 5TH AVE N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/19/2025 7:22:03 PM,BP25001138,"40XXX -498 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/19/2025 7:48:35 PM,BP25001139,"90XXX -999 Highway 95 N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/19/2025 10:50:59 PM,BP25001140,"XXX 6th St S, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,3/20/2025 8:33:23 AM,BP25001142,"XXX 4TH ST N, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,3/20/2025 10:39:56 AM,BP25001143,"XXX 4TH AVE N, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,3/20/2025 2:13:20 PM,BP25001145,"5th Ave N / 3rd St N, BAYPORT",FAMILY ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,3/20/2025 4:12:06 PM,BP25001147,"XXX 3rd St N, BAYPORT",ACCIDENT
BAYPORT POLICE DEPARTMENT,BAYPORT,3/20/2025 5:54:56 PM,BP25001149,"70XXX -741 3RD ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/20/2025 6:11:24 PM,BP25001150,"XX Point Rd, BAYPORT",FOLLOW UP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/20/2025 6:18:06 PM,BP25001151,"Highway 95 N / 10TH AVE N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/20/2025 6:56:33 PM,BP25001152,"50XXX -598 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/20/2025 7:24:45 PM,BP25001153,"3RD ST N / 1ST AVE N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/20/2025 7:40:22 PM,BP25001155,"30XXX -398 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/20/2025 7:48:55 PM,BP25001156,"30XXX -330 5TH AVE N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,3/20/2025 8:11:56 PM,BP25001157,"3RD ST N / 5TH AVE N, BAYPORT",TRAFFIC STOP
