AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,AFTON,7/13/2024 5:13:00 PM,BP24003837,"I94 Eb Jeo Manning Ave S, AFTON",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,7/7/2024 5:53:00 AM,BP24003711,"XXX 5th St S, BAYPORT",DRUGS
BAYPORT POLICE DEPARTMENT,BAYPORT,7/7/2024 8:10:00 AM,BP24003712,"50XXX -598 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/7/2024 8:45:00 AM,BP24003713,"50XXX -598 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/7/2024 8:58:00 AM,BP24003714,"50XXX -598 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/7/2024 9:13:00 AM,BP24003715,"70XXX -972 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/7/2024 9:36:00 AM,BP24003716,"50XXX -598 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/7/2024 10:36:00 AM,BP24003719,"62XXX -636 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/7/2024 11:35:00 AM,BP24003695,"50XXX -598 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/7/2024 11:40:00 AM,BP24003696,"50XXX -599 4TH ST N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/7/2024 11:42:00 AM,BP24003697,"60XXX -619 MINNESOTA ST S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,7/7/2024 10:41:00 PM,BP24003729,"Hwy 95 / 10th Ave N, BAYPORT",STAT RADAR
BAYPORT POLICE DEPARTMENT,BAYPORT,7/7/2024 11:17:00 PM,BP24003733,"90XXX -999 Highway 95 N, BAYPORT",V/W - failure to drive in single lane
BAYPORT POLICE DEPARTMENT,BAYPORT,7/8/2024 10:29:00 AM,BP24003739,"XX Central Ave, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/8/2024 11:03:00 AM,BP24003740,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,7/8/2024 2:42:00 PM,BP24003742,"XXX 3rd St N, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,7/8/2024 2:44:00 PM,BP24003741,"10XXX -198 3RD ST N, BAYPORT",W/W SPEED
BAYPORT POLICE DEPARTMENT,BAYPORT,7/8/2024 2:52:00 PM,BP24003743,"XXX 4th Ave N, BAYPORT",911 ABANDONED/HANGUP/OPEN LINE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/8/2024 5:36:00 PM,BP24003745,"Stagecoach Trl N / Inspiration Pkwy S, BAYPORT",CITE - NO INSURANCE/FAIL TO TRANSFER TITLE
BAYPORT POLICE DEPARTMENT,BAYPORT,7/8/2024 7:58:00 PM,BP24003746,"XXX 4th Ave N, BAYPORT",TRAFFIC COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,7/8/2024 8:49:00 PM,BP24003748,"Hwy 95 / 3rd Ave S, BAYPORT",CITED - Driving After Revocation
BAYPORT POLICE DEPARTMENT,BAYPORT,7/9/2024 4:31:00 AM,BP24003752,"XXX Inspiration Parkway N, BAYPORT",OPEN DOOR/WINDOW
