AgencyName,Address_City_Description,CreatedOn1,CaseNum,Textbox28,EventDescription
BAYPORT POLICE DEPARTMENT,AFTON,10/5/2024 2:13:15 AM,BP24005350,"I94 WB AT NEAL AVE S, AFTON",ASSIST OTHER AGENCY
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2024 12:24:11 AM,BP24005242,"MINNESOTA ST S / 4TH AVE S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2024 12:36:43 AM,BP24005243,"HWY95/Point Road, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2024 6:26:10 PM,BP24005244,"XX Central Ave, BAYPORT",FOUND PROPERTY/ITEM
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2024 7:59:04 PM,BP24005247,"3RD ST N / 1ST AVE N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2024 8:23:51 PM,BP24005248,"MINNESOTA ST S / 7TH AVE S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2024 8:31:16 PM,BP24005249,"3rd St N / 8th Ave N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2024 8:48:44 PM,BP24005250,"XX CENTRAL AVE, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2024 9:56:17 PM,BP24005252,"1XXX  Inspiration Pkwy N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/29/2024 10:26:33 PM,BP24005254,"MINNESOTA ST S / 2ND AVE S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,9/30/2024 12:02:30 AM,BP24005256,"XXX 9TH ST N, BAYPORT",SUSPICIOUS PERSON/ACTIVITY
BAYPORT POLICE DEPARTMENT,BAYPORT,9/30/2024 12:30:12 AM,BP24005257,"XXX 1ST AVE N, BAYPORT",ORDINANCE VIOLATION
BAYPORT POLICE DEPARTMENT,BAYPORT,9/30/2024 3:30:20 PM,BP24005266,"XXX Pickett St N, BAYPORT",MEDICAL
BAYPORT POLICE DEPARTMENT,BAYPORT,9/30/2024 8:26:52 PM,BP24005269,"Hwy 95 At 10th Ave N, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,10/1/2024 4:40:20 AM,BP24005274,"XXX 3rd st n , BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,10/1/2024 4:55:23 AM,BP24005275,"XXX 5th St S, BAYPORT",CITIZEN/PUBLIC ASSIST
BAYPORT POLICE DEPARTMENT,BAYPORT,10/1/2024 5:26:22 AM,BP24005276,"XX HWY 95 AT 6TH AVE S, BAYPORT",TRAFFIC STOP
BAYPORT POLICE DEPARTMENT,BAYPORT,10/1/2024 11:29:59 AM,BP24005279,"XXX 3rd St N, BAYPORT",WELFARE CHECK
BAYPORT POLICE DEPARTMENT,BAYPORT,10/1/2024 3:19:12 PM,BP24005281,"XXX 4TH ST N, BAYPORT",SCHOOL CROSSING
BAYPORT POLICE DEPARTMENT,BAYPORT,10/1/2024 3:33:43 PM,BP24005282,"3rd Ave N / 4th St N, BAYPORT",ANIMAL COMPLAINT
BAYPORT POLICE DEPARTMENT,BAYPORT,10/1/2024 6:11:25 PM,BP24005283,"10XXX -198 2ND AVE S, BAYPORT",W/W STOP SIGN VIOL/CHANGE OF ADDRESS
BAYPORT POLICE DEPARTMENT,BAYPORT,10/1/2024 6:16:38 PM,BP24005284,"25XXX -298 3RD AVE S, BAYPORT",W/W SPEED/FAIL TO YIELD
